layer,original,predicted
0,ar_emul_default_parse_arg,get_initial_value_00107640
0,ar_emul_default_replace,copy_and_print_string_00103172
0,FUN_00105a68,process_file_path_00105a68
0,normalize,extract_file_name_00105830
0,print_version,print_version_info_001075e0
0,print_arelt_descr,print_file_info_001079c0
0,open_output_file.isra.0,process_output_file_00105a20
0,simple_copy.constprop.0.cold,close_file_and_set_error_00102f55
0,yy_get_previous_state,find_modified_bytes_0010300e
0,list_supported_targets,print_supported_targets_0010266f
0,remove_output.cold,close_and_remove_files_00102bf5
0,normalize.cold,reverse_string_00102bb0
0,bfd_nonfatal,print_error_message_00107c20
0,open_output_file.isra.0.cold,write_to_file_00102e57
0,get_pos_bfd,find_last_match_00105870
0,report,print_error_message_001078c0
0,FUN_00102020,execute_indirect_call_00102020
0,FUN_00102943,initialize_data_00102943
0,bfd_nonfatal.cold,print_error_info_00102f96
0,yy_fatal_error,report_error_and_exit_001033b0
0,remove_output,cleanup_and_close_00107730
0,make_tempname.cold,deallocate_and_return_address_00102ba1
0,list_matching_formats,print_matching_formats_00103bd1
0,yy_load_buffer_state,initialize_data_001030ed
0,get_pos_bfd.cold,find_matching_address_00102cd9
0,map_over_list,extract_and_print_entries_001032a8
0,do_ar_emul_append.constprop.0.cold,print_and_assign_00102f08
0,any_ok,check_return_value_00105bb0
0,ar_emul_default_usage,print_emulation_options_0010336b
0,make_tempname,extract_file_name_001057a0
0,yyerror.constprop.0,print_syntax_error_001031a5
0,print_arelt_descr.cold,print_file_info_00102d8c
0,xatexit_cleanup,execute_functions_00107cc0
0,maybequit,check_and_exit_if_zero_0010315d
0,ar_addlib_doer,copy_data_0010312d
0,ranlib_only.cold,get_one_0010284b
0,prompt,check_and_print_ar_00103ba8
1,usage,print_usage_0010342d
1,ar_directory_doer,print_file_info_00103ddc
1,ranlib_usage,print_archive_index_0010394a
1,map_over_members,reverse_entries_in_archive_00105480
1,print_descr,FUNC_00107890
1,bfd_fatal,handle_error_and_exit_00107c10
1,yyensure_buffer_stack,ensure_buffer_stack_00103df9
1,map_over_members.cold,print_archive_entry_not_found_error_0010285f
1,ar_open,create_bfd_archive_00103c60
1,yy_init_buffer,initialize_file_001031cf
1,simple_copy.constprop.0,copy_data_to_file_00105c00
1,non_fatal,print_error_message_00107920
1,fatal,print_error_and_exit_00107690
2,get_file_size,check_file_001052a0
2,get_file_size.cold,print_file_error_001025a0
2,FUN_00102e6f,process_file_path_00102e6f
2,print_contents,extract_and_print_archive_00103a78
2,set_times.cold,print_error_message_00102fd7
2,open_inarch.cold,extract_archived_files_00102710
2,smart_rename.constprop.0.cold,copy_file_and_print_error_00102f1e
2,set_times,set_file_time_00107c80
2,smart_rename.constprop.0,copy_and_replace_file_00105bc0
2,yy_create_buffer.constprop.0,create_buffer_001033d6
3,extract_file.cold,extract_and_process_archive_00102c25
3,write_archive.cold,print_file_attributes_00102d2f
3,write_archive,extract_and_print_archive_file_info_001058b0
3,open_inarch,parse_binary_file_00105300
3,extract_file,extract_file_from_binary_00107740
4,ranlib_only,check_and_print_file_info_00107650
4,yyparse.isra.0,extract_and_print_entries_00103e95
5,do_ar_emul_append.constprop.0,process_files_in_archive_00105af0
6,ar_emul_default_append,process_files_in_archive_00105ae0
7,replace_members,process_binary_00105570
7,replace_members.cold,process_files_001028ed
8,main,process_archive_00105db0
