layer,original,predicted
0,free_saved_stabs,cleanup_memory_00108863
0,stab_demangle_count,extract_integer_from_byte_array_00108e76
0,make_tempdir.cold,release_and_return_param_001081e9
0,list_supported_targets,print_supported_targets_00104a35
0,debug_set_filename,initialize_memory_0010bbd3
0,bfd_nonfatal,print_error_0011a110
0,stab_end_function.lto_priv.0,initialize_00108f05
0,debug_add_to_namespace.constprop.0,initialize_memory_00112925
0,xstrndup,copy_string_with_length_0011a480
0,stab_push_string,initialize_data_structure_00109b52
0,xatexit_cleanup.lto_priv.0,execute_function_chain_0011a390
0,debug_end_function,end_debug_function_0010be1a
0,add_specific_symbols.cold,process_lines_00104c36
0,template_in_dir,create_file_path_00114cf0
0,display_info.isra.0.cold,print_architecture_info_00104943
0,simple_copy.cold,close_handle_and_return_error_00108237
0,debug_record_parameter,record_parameter_debug_0010bd62
0,FUN_001052a2,extract_and_copy_archived_files_001052a2
0,stab_demangle_remember_type,expand_and_add_to_data_array_00109be3
0,set_long_section_mode.cold,execute_function_0010540e
0,get_sections,store_data_0010870e
0,print_version,print_version_info_00119970
0,save_stab,update_data_entry_001088ae
0,is_specified_symbol_predicate,check_pattern_match_0011a170
0,endian_string,determine_endianness_00114e00
0,stab_get_struct_index,resize_and_initialize_array_00109c2e
0,stab_class_end_method.lto_priv.0,check_and_update_string_00109bbb
0,stab_class_start_method.lto_priv.0,update_string_with_prefix_0010ab4d
0,report,print_error_message_00119e70
0,string_hash_newfunc.lto_priv.0,allocate_and_initialize_hash_0010bb52
0,create_symbol_htab,initialize_hashtable_00113f20
0,debug_start_block,start_debug_block_0010be88
0,stab_pop_type,extract_and_free_next_item_00109b2f
0,savestring,copy_and_terminate_string_00109a0b
0,bad_stab,print_bad_stab_00108fb9
0,group_signature.isra.0,find_value_00115d00
0,debug_find_named_type,find_named_type_0010914e
0,debug_end_block,end_debug_block_0010bf20
0,stab_demangle_get_count,parse_integer_from_string_00108ea1
0,bfd_get_archive_filename,get_modified_filename_001125fa
0,compare_section_lma,compare_records_0010875d
0,debug_record_line,record_line_debug_info_0010bf86
0,eq_string_redefnode,compare_strings_00108898
0,bfd_nonfatal.cold,print_error_message_0010871c
0,FUN_00104d1c,process_lines_00104d1c
0,sort_gnu_build_notes.cold,get_zero_001087fd
0,list_matching_formats,print_matching_formats_0011256b
0,debug_make_type.constprop.0,initialize_data_structure_00112904
