layer,original,predicted
0,FUN_00102020,execute_indirect_jump_00102020
0,usage.cold,print_supported_targets_00102450
0,set_print_width.cold,concatenate_strings_001025f5
0,print_archive_filename_bsd,print_message_if_flag_set_00102670
0,print_symname.cold,print_encoded_string_0010268b
0,display_rel_file.cold,process_lto_object_00102c19
0,print_object_filename_sysv,print_undefined_symbols_00102f19
0,print_object_filename_posix,print_message_if_condition_met_00102f7b
0,print_symbol.cold,process_data_00103238
0,print_archive_member_bsd,print_function_name_if_not_zero_0010351b
0,size_forward2,compare_and_execute_function_00103533
0,print_symbol_filename_bsd.cold,print_both_strings_00103573
0,print_symbol_filename_sysv,print_formatted_string_001036a7
0,print_symbol_filename_posix.cold,print_log_message_001036e0
0,bfd_nonfatal.cold,print_error_message_00103a78
0,print_archive_member_sysv,print_symbol_info_00103abf
0,print_archive_member_posix,print_log_message_00103b2b
0,list_matching_formats,print_matching_formats_00103b5d
0,usage,print_symbols_usage_00103ca0
0,FUN_00104397,initialize_param_data_00104397
0,set_print_width,get_architecture_size_00104670
0,FUN_001047d0,print_and_free_memory_001047d0
0,FUN_001049c0,reverse_and_process_data_001049c0
0,print_symbol_filename_bsd,print_strings_with_label_001053b0
0,print_object_filename_bsd,print_if_condition_met_001062d0
0,report,print_formatted_error_message_001063a0
0,print_symbol_filename_posix,print_log_message_001064a0
0,bfd_nonfatal,print_error_message_00106540
1,FUN_00102739,print_string_with_formatting_00102739
1,fatal,print_formatted_error_message_00106300
1,non_fatal,print_error_with_formatted_message_00106400
1,bfd_fatal,print_error_message_and_exit_00106530
2,display_file.cold,print_warning_message_0010249f
2,non_numeric_forward.cold,print_error_message_and_exit_00102f9f
2,FUN_00103463,print_error_message_and_exit_00103463
2,get_relocs,update_reloc_info_00103c00
2,set_output_format,initialize_output_format_00104370
2,print_symname,print_formatted_string_with_param_00104740
2,non_numeric_forward,compare_strings_00104fa0
3,numeric_forward.cold,validate_file_extension_00102fc3
3,size_forward1,check_file_compile_status_00102fd2
3,just_print_symbol_name,print_formatted_string_with_param_00103b49
3,non_numeric_reverse,compare_and_return_negative_result_00103bf6
3,numeric_forward,compare_and_validate_strings_00105050
3,print_symbol,print_labels_and_strings_00105110
4,numeric_reverse,compare_and_validate_strings_00103bec
4,FUN_00104d5b,process_lto_slim_object_00104d5b_00104d5b
5,display_rel_file,reverse_and_process_lto_object_001048e0
6,display_file,check_and_process_object_file_001043d0
7,main,check_and_process_object_files_001055f0
8,print_value.constprop.0,print_formatted_error_message_001054d0
9,print_symbol_info_bsd.cold,print_formatted_error_message_001035a2
9,print_value.constprop.0.cold,print_symbol_information_0010370a
9,print_symbol_info_sysv,print_and_format_symbol_info_00103729
9,FUN_0010651a,print_formatted_error_message_0010651a
10,print_symbol_info_posix.cold,check_if_pointer_is_null_00103a66
10,print_symbol_info_bsd,print_formatted_symbol_info_001053c0
10,print_symbol_info_posix,print_formatted_error_message_001064b0
