layer,original,predicted
0,FUN_00102020,execute_indirect_jump_00102020
0,list_supported_targets,print_supported_targets_0010266f
0,ranlib_only.cold,get_one_0010284b
0,FUN_00102943,initialize_data_00102943
0,make_tempname.cold,free_memory_and_return_address_00102ba1
0,normalize.cold,reverse_and_allocate_string_00102bb0
0,remove_output.cold,cleanup_resources_00102bf5
0,get_pos_bfd.cold,find_file_by_index_00102cd9
0,print_arelt_descr.cold,format_and_print_file_info_00102d8c
0,open_output_file.isra.0.cold,print_and_write_to_file_00102e57
0,do_ar_emul_append.constprop.0.cold,print_and_assign_value_00102f08
0,simple_copy.constprop.0.cold,close_file_and_set_errno_00102f55
0,bfd_nonfatal.cold,print_error_message_00102f96
0,yy_get_previous_state,find_matching_value_index_0010300e
0,yy_load_buffer_state,extract_data_from_binary_001030ed
0,ar_addlib_doer,copy_and_swap_data_0010312d
0,maybequit,check_and_exit_if_zero_flag_set_0010315d
0,ar_emul_default_replace,print_and_update_data_00103172
0,yyerror.constprop.0,print_syntax_error_in_archive_script_001031a5
0,map_over_list,process_entries_in_archive_001032a8
0,ar_emul_default_usage,print_emulation_options_0010336b
0,yy_fatal_error,print_error_message_and_exit_001033b0
0,prompt,print_ar_message_if_not_zero_00103ba8
0,list_matching_formats,print_matching_formats_00103bd1
0,make_tempname,extract_file_name_and_create_temp_001057a0
0,normalize,extract_and_copy_substring_00105830
0,get_pos_bfd,find_last_file_index_00105870
0,open_output_file.isra.0,process_output_path_00105a20
0,FUN_00105a68,write_to_file_and_exit_00105a68
0,any_ok,get_one_00105bb0
0,print_version,print_gnu_version_info_001075e0
0,ar_emul_default_parse_arg,initialize_program_00107640
0,remove_output,cleanup_function_00107730
0,report,print_formatted_error_message_001078c0
0,print_arelt_descr,format_and_print_file_info_001079c0
0,bfd_nonfatal,print_error_message_00107c20
0,xatexit_cleanup,execute_functions_in_list_00107cc0
1,map_over_members.cold,print_archive_entry_not_found_error_0010285f
1,yy_init_buffer,initialize_file_pointer_001031cf
1,usage,print_usage_info_0010342d
1,ranlib_usage,print_usage_and_exit_0010394a
1,ar_open,extract_archive_and_modify_flags_00103c60
1,ar_directory_doer,print_formatted_file_info_00103ddc
1,yyensure_buffer_stack,ensure_buffer_stack_00103df9
1,map_over_members,process_archive_entries_00105480
1,simple_copy.constprop.0,copy_file_contents_00105c00
1,fatal,print_error_message_and_exit_00107690
1,print_descr,print_file_info_to_stdout_00107890
1,non_fatal,print_formatted_error_message_00107920
1,bfd_fatal,print_error_message_and_exit_00107c10
2,get_file_size.cold,handle_file_not_found_error_001025a0
2,open_inarch.cold,extract_and_convert_archived_files_00102710
2,FUN_00102e6f,process_file_path_00102e6f
2,smart_rename.constprop.0.cold,copy_file_and_print_error_message_00102f1e
2,set_times.cold,print_time_setting_error_message_00102fd7
2,yy_create_buffer.constprop.0,create_and_initialize_buffer_001033d6
2,print_contents,extract_and_print_archive_contents_00103a78
2,get_file_size,get_file_stat_size_001052a0
2,smart_rename.constprop.0,copy_and_delete_file_00105bc0
2,set_times,set_file_modification_time_00107c80
3,extract_file.cold,extract_and_process_archive_00102c25
3,write_archive.cold,print_file_info_00102d2f
3,open_inarch,improved_extract_and_convert_archived_files_00105300
3,write_archive,extract_and_print_archive_file_info_001058b0
3,extract_file,process_and_extract_archive_00107740
4,yyparse.isra.0,improved_extract_and_convert_archived_files_00103e95
4,ranlib_only,extract_and_print_archive_file_info_00107650
5,do_ar_emul_append.constprop.0,process_archived_files_00105af0
6,ar_emul_default_append,process_archived_files_00105ae0
7,replace_members.cold,process_files_and_print_data_001028ed
7,replace_members,extract_and_print_archive_file_info_00105570
8,main,improved_extract_and_convert_archived_files_00105db0
