layer,original,predicted
0,ar_emul_default_parse_arg,initialize_00107640
0,ar_emul_default_replace,update_param_and_return_00103172
0,FUN_00105a68,process_and_save_file_00105a68
0,normalize,extracted_function_00105830
0,print_version,print_version_info_001075e0
0,print_arelt_descr,print_file_metadata_001079c0
0,open_output_file.isra.0,extract_output_path_00105a20
0,simple_copy.constprop.0.cold,close_file_and_handle_errors_00102f55
0,yy_get_previous_state,find_matching_values_0010300e
0,list_supported_targets,print_supported_targets_0010266f
0,remove_output.cold,clean_up_binary_resources_00102bf5
0,normalize.cold,reverse_string_00102bb0
0,bfd_nonfatal,print_error_message_00107c20
0,open_output_file.isra.0.cold,write_to_file_00102e57
0,get_pos_bfd,find_next_object_position_00105870
0,report,print_error_message_001078c0
0,FUN_00102020,execute_bootloader_function_00102020
0,FUN_00102943,initialize_data_00102943
0,bfd_nonfatal.cold,print_error_message_00102f96
0,yy_fatal_error,print_error_message_and_exit_001033b0
0,remove_output,cleanup_file_00107730
0,make_tempname.cold,free_and_return_00102ba1
0,list_matching_formats,print_matching_formats_00103bd1
0,yy_load_buffer_state,extract_function_data_001030ed
0,get_pos_bfd.cold,find_matching_entry_00102cd9
0,map_over_list,extract_archive_entries_001032a8
0,do_ar_emul_append.constprop.0.cold,print_and_assign_00102f08
0,any_ok,get_one_00105bb0
0,ar_emul_default_usage,print_emulation_options_0010336b
0,make_tempname,extract_base_name_001057a0
0,yyerror.constprop.0,print_archive_script_error_001031a5
0,print_arelt_descr.cold,print_file_permissions_00102d8c
0,xatexit_cleanup,execute_function_chain_00107cc0
0,maybequit,check_initialized_exit_0010315d
0,ar_addlib_doer,copy_data_0010312d
0,ranlib_only.cold,initialize_0010284b
0,prompt,check_ar_status_00103ba8
1,usage,print_usage_0010342d
1,ar_directory_doer,print_file_metadata_00103ddc
1,ranlib_usage,print_archive_usage_0010394a
1,map_over_members,process_entries_00105480
1,print_descr,print_file_metadata_00107890
1,bfd_fatal,exit_with_error_message_00107c10
1,yyensure_buffer_stack,ensure_buffer_stack_00103df9
1,map_over_members.cold,print_missing_entries_in_archive_0010285f
1,ar_open,process_archive_file_00103c60
1,yy_init_buffer,initialize_file_001031cf
1,simple_copy.constprop.0,extract_and_save_data_00105c00
1,non_fatal,print_error_00107920
1,fatal,print_and_exit_00107690
2,get_file_size,check_file_properties_001052a0
2,get_file_size.cold,handle_file_error_001025a0
2,FUN_00102e6f,process_and_save_file_00102e6f
2,print_contents,extract_and_print_archive_00103a78
2,set_times.cold,print_error_message_00102fd7
2,open_inarch.cold,load_bfd_libraries_00102710
2,smart_rename.constprop.0.cold,copy_file_and_handle_error_00102f1e
2,set_times,set_file_time_00107c80
2,smart_rename.constprop.0,copy_and_delete_file_00105bc0
2,yy_create_buffer.constprop.0,create_buffer_001033d6
3,extract_file.cold,extract_and_write_archive_00102c25
3,write_archive.cold,print_file_info_00102d2f
3,write_archive,write_archive_to_file_001058b0
3,open_inarch,convert_library_format_00105300
3,extract_file,extract_and_save_from_binary_00107740
4,ranlib_only,process_file_00107650
4,yyparse.isra.0,extract_and_process_archive_script_00103e95
5,do_ar_emul_append.constprop.0,process_archived_files_00105af0
6,ar_emul_default_append,process_archived_files_00105ae0
7,replace_members,process_files_00105570
7,replace_members.cold,process_files_001028ed
8,main,process_files_00105db0
