layer,original,predicted
0,free_saved_stabs,clear_memory_00108863
0,stab_demangle_count,parse_digits_00108e76
0,make_tempdir.cold,release_memory_001081e9
0,list_supported_targets,print_supported_targets_00104a35
0,debug_set_filename,initialize_debug_info_0010bbd3
0,bfd_nonfatal,print_error_message_0011a110
0,stab_end_function.lto_priv.0,check_success_00108f05
0,debug_add_to_namespace.constprop.0,initialize_data_structure_00112925
0,xstrndup,copy_string_0011a480
0,stab_push_string,initialize_data_structure_00109b52
0,xatexit_cleanup.lto_priv.0,execute_function_chain_0011a390
0,debug_end_function,debug_end_function_check_0010be1a
0,add_specific_symbols.cold,process_lines_00104c36
0,template_in_dir,allocate_path_00114cf0
0,display_info.isra.0.cold,print_reverse_strings_00104943
0,simple_copy.cold,close_file_and_set_errno_00108237
0,debug_record_parameter,record_parameter_0010bd62
0,FUN_001052a2,extract_and_copy_archive_001052a2
0,stab_demangle_remember_type,resize_and_insert_entry_00109be3
0,set_long_section_mode.cold,process_data_0010540e
0,get_sections,update_and_increment_pointer_0010870e
0,print_version,print_license_info_00119970
0,save_stab,update_data_entry_001088ae
0,is_specified_symbol_predicate,match_pattern_0011a170
0,endian_string,get_endianness_00114e00
0,stab_get_struct_index,resize_and_initialize_array_00109c2e
0,stab_class_end_method.lto_priv.0,check_and_append_semicolon_00109bbb
0,stab_class_start_method.lto_priv.0,add_string_to_buffer_0010ab4d
0,report,print_error_message_00119e70
0,string_hash_newfunc.lto_priv.0,initialize_hash_0010bb52
0,create_symbol_htab,initialize_hash_table_00113f20
0,debug_start_block,debug_start_block_0010be88
0,stab_pop_type,extract_and_free_ptr_00109b2f
0,savestring,copy_and_null_terminate_00109a0b
0,bad_stab,print_bad_stab_error_message_00108fb9
0,group_signature.isra.0,find_matching_value_00115d00
0,debug_find_named_type,find_named_type_0010914e
0,debug_end_block,close_debug_block_0010bf20
0,stab_demangle_get_count,extract_and_parse_number_00108ea1
0,bfd_get_archive_filename,get_modified_string_001125fa
0,compare_section_lma,compare_records_0010875d
0,debug_record_line,record_debug_line_0010bf86
0,eq_string_redefnode,compare_strings_00108898
0,bfd_nonfatal.cold,print_error_message_0010871c
0,FUN_00104d1c,parse_lines_00104d1c
0,sort_gnu_build_notes.cold,get_default_value_001087fd
0,list_matching_formats,print_matching_formats_0011256b
0,debug_make_type.constprop.0,initialize_memory_00112904
0,parse_flags,parse_section_flags_00113fe0
0,stab_end_class_type.lto_priv.0,combine_strings_0010ae0e
0,stab_context,print_last_stabs_entries_00108b3e
0,startswith.lto_priv.0.lto_priv.0,compare_strings_00113fb0
0,stab_bad_demangle,print_error_message_0010911f
0,FUN_00104020,execute_indirect_function_00104020
0,sort_gnu_build_notes,compare_records_0011a250
0,FUN_00114b84,remove_dir_and_free_memory_00114b84
0,htab_hash_redefnode,hash_string_00108800
0,try_dir.lto_priv.0,check_directory_permission_0011283f
0,find_section_list.cold,validate_and_process_flags_00104bba
0,start_stab.constprop.0,create_initialized_buffer_00112894
0,warn_stab,print_warning_message_00108fe8
