layer,original,predicted
0,free_saved_stabs,cleanup_memory_00108863
0,stab_demangle_count,parse_int_from_byte_array_00108e76
0,make_tempdir.cold,release_memory_001081e9
0,list_supported_targets,print_supported_targets_00104a35
0,debug_set_filename,initialize_debug_info_0010bbd3
0,bfd_nonfatal,print_error_message_0011a110
0,stab_end_function.lto_priv.0,get_status_00108f05
0,debug_add_to_namespace.constprop.0,initialize_memory_00112925
0,xstrndup,copy_and_null_terminate_string_0011a480
0,stab_push_string,initialize_data_structure_00109b52
0,xatexit_cleanup.lto_priv.0,execute_callbacks_0011a390
0,debug_end_function,end_function_debugging_0010be1a
0,add_specific_symbols.cold,process_line_00104c36
0,template_in_dir,allocate_file_path_00114cf0
0,display_info.isra.0.cold,print_reverse_arch_info_00104943
0,simple_copy.cold,close_file_00108237
0,debug_record_parameter,record_parameter_0010bd62
0,FUN_001052a2,extract_and_copy_files_001052a2
0,stab_demangle_remember_type,append_to_data_structure_00109be3
0,set_long_section_mode.cold,execute_function_0010540e
0,get_sections,update_pointer_and_value_0010870e
0,print_version,print_version_info_00119970
0,save_stab,update_data_in_array_001088ae
0,is_specified_symbol_predicate,pattern_match_0011a170
0,endian_string,print_endianness_00114e00
0,stab_get_struct_index,resize_and_initialize_array_00109c2e
0,stab_class_end_method.lto_priv.0,append_semicolon_if_valid_00109bbb
0,stab_class_start_method.lto_priv.0,append_string_with_separator_0010ab4d
0,report,print_error_message_00119e70
0,string_hash_newfunc.lto_priv.0,initialize_hash_function_0010bb52
0,create_symbol_htab,initialize_hash_table_00113f20
0,debug_start_block,start_debug_block_0010be88
0,stab_pop_type,extract_and_remove_ptr_from_param_00109b2f
0,savestring,copy_and_null_terminate_string_00109a0b
0,bad_stab,print_bad_stab_00108fb9
0,group_signature.isra.0,retrieve_data_00115d00
0,debug_find_named_type,find_named_type_0010914e
0,debug_end_block,close_debug_block_0010bf20
0,stab_demangle_get_count,parse_integer_00108ea1
0,bfd_get_archive_filename,generate_formatted_string_001125fa
0,compare_section_lma,compare_records_0010875d
0,debug_record_line,record_line_debug_info_0010bf86
0,eq_string_redefnode,compare_strings_00108898
0,bfd_nonfatal.cold,print_error_message_0010871c
0,FUN_00104d1c,process_lines_00104d1c
0,sort_gnu_build_notes.cold,initialize_001087fd
0,list_matching_formats,print_matching_formats_0011256b
0,debug_make_type.constprop.0,allocate_and_initialize_data_00112904
0,parse_flags,parse_section_flags_00113fe0
0,stab_end_class_type.lto_priv.0,concatenate_strings_0010ae0e
