layer,original,predicted
0,setTx,get_value_at_index_08004460
0,HAL_NVIC_SetPriorityGrouping,set_param_bits_08000e3c
0,I2C_SlaveTransmit_TXE,process_data_080015bc
0,set_pin_configured,update_bit_in_array_0800314e
0,get_pin_id,count_bits_set_08004678
0,buildException,copy_byte_from_param1_to_param1_plus_9_080008cc
0,TIM_CCxNChannelCmd,set_bit_080028d4
0,get_i2c_obj,subtract_four_from_input_0800387c
0,HAL_UART_GetState,get_sum_of_39_and_3a_offsets_0800312c
0,I2C_MasterTransmit_BTF,process_input_08001864
0,timer_disable_clock,set_flags_based_on_value_080035fc
0,HAL_RCC_GetHCLKFreq,get_value_from_pointer_080025e0
0,I2C_MasterTransmit_TXE,process_input_0800171a
0,HAL_NVIC_SetPriority,decode_bits_08000e60
0,I2C_SlaveTransmit_BTF,decode_data_08001420
0,I2C_Master_ADD10,set_uint_at_offset_0800124a
0,I2C_SlaveReceive_RXNE,process_data_0800160e
0,_isatty,return_one_080040e0
0,I2C_MasterReceive_RXNE,modify_string_and_call_function_08001904
0,HAL_IncTick,update_pointer_value_08000e18
0,fiprintf,call_function_with_arguments_and_return_0_08004860
0,makeWord,combine_values_08004640
0,IPAddress,set_params_08004544
0,available,calculate_value_at_offset_08004240
0,strlen,find_end_of_string_08000218
0,HAL_DAC_Stop,clear_bit_08000f72
0,_exit,infinite_loop_080040f8
0,__libc_init_array,execute_functions_08004884
0,_getpid_r,get_one_thunk_0800410c
0,HAL_GetTick,get_value_from_pointer_08000e30
0,I2C_Master_SB,set_control_register_080011c0
0,TIM_CCxChannelCmd,set_bit_in_uint_array_08002848
0,get_timer_obj,subtract_four_from_input_08003750
0,get_GPIO_Port,get_data_at_index_0800318c
0,aflCall,trigger_software_interrupt_080005e0
0,set_GPIO_Port_Clock,set_bit_080031fc
0,HAL_SYSTICK_CLKSourceConfig,set_flag_08000f2c
0,setRx,update_value_at_address_based_on_index_08004444
0,HAL_RTC_AlarmAEventCallback,execute_code_if_pointer_is_not_null_08003594
0,_sbrk,get_offset_08004094
0,UART_EndRxTransfer,clear_bit_flags_08002940
0,__cxa_atexit,calculate_result_08004844
0,HAL_DMA_Abort_IT,check_flag_08000f8c
0,SystemInit,set_flags_080035bc
0,pinmap_merge_peripheral,compare_and_return_non_zero_08003582
0,is_pin_configured,extract_bit_08003138
0,reset_pin_configured,update_bit_0800316c
0,pinmap_find_peripheral,find_value_in_array_080034da
0,I2C_SlaveReceive_BTF,zero_out_short_at_offset_0x2a_08001440
0,UART_Transmit_IT,read_and_modify_memory_0800295c
0,_read,return_zero_080040e8
0,uart_index,find_index_of_value_08003f00
0,_printf_common,extract_data_from_binary_08004cb0
0,I2C_Master_ADDR,set_flags_08001256
0,HAL_SYSTICK_Config,check_param_and_set_values_08000ee0
0,init,initialize_struct_08004364
0,pinmap_find_pin,find_short_value_08003506
0,_close,return_error_080040d0
0,HAL_UART_Init,clean_up_08002d72
0,HAL_UART_Transmit_IT,check_data_validity_08002eb2
0,_kill,set_value_to_22_080040fc
0,HAL_NVIC_ClearPendingIRQ,set_bit_in_array_08000f0c
0,_fstat,set_memory_permissions_080040d6
0,HAL_I2C_Slave_Sequential_Receive_IT,check_valid_input_080014ec
0,_getpid,return_one_0800410c
0,I2C_MasterReceive_BTF,process_data_080019a0
0,__aeabi_uldivmod,get_params_080002d0
0,HAL_UART_Receive_IT,check_input_validity_08002efa
0,memchr,find_byte_sequence_08000230
0,_free_r,insert_node_080048dc
0,calcCRC,calculate_crc16_08000728
0,HAL_GPIO_Init,update_data_08000fb4
0,HAL_DAC_MspDeInit,clear_bit_at_31_of_uint32_080033c8
0,_lseek,return_zero_080040e4
0,HAL_SYSTICK_IRQHandler,do_nothing_and_return_08000f4e
0,memset,set_memory_to_value_080048cc
0,HAL_I2C_Slave_Sequential_Transmit_IT,process_input_08001460
0,pin_in_pinmap,find_short_in_array_0800355e
0,HAL_GPIO_WritePin,update_value_at_address_08001198
0,HAL_I2C_EnableListen_IT,set_flags_08001578
0,__do_global_dtors_aux,check_if_already_executed_080001ac
0,pinmap_find_function,find_index_of_value_in_array_0800352e
0,HAL_NVIC_EnableIRQ,set_bit_at_index_08000ec4
1,HAL_RCC_GetSysClockFreq,calculate_params_080023b4
1,pinmap_function,get_index_of_value_0800354a
1,HAL_RCC_GetPCLK2Freq,get_shifted_value_from_pointer_0800260c
1,pinmap_pin,find_short_value_if_not_zero_0800351e
1,HAL_InitTick,check_and_set_values_08000d98
1,startForkserver,execute_interrupt_call_080005e4
1,GetCurrentMilli,get_value_from_pointer_08000e30_wrapper_0800346c
1,digital_io_write,update_value_at_address_if_nonzero_080034b6
1,HAL_I2C_ListenCpltCallback,execute_command_080038d0
1,HAL_TIM_PeriodElapsedCallback,execute_input_subtraction_0800376e
1,HAL_TIM_OC_DelayElapsedCallback,execute_callback_if_flag_set_08003754
1,HAL_TIMEx_PWMN_Stop,set_bit_and_check_080028f0
1,_sbrk_r,get_offset_0800500c
1,_read_r,process_data_0800573c
1,HAL_UART_TxCpltCallback,process_data_08003f48
1,HAL_DAC_DeInit,set_zero_and_clear_bit_at_31_of_uint32_08000f56
1,HAL_RCC_GetPCLK1Freq,get_value_shifted_080025ec
1,_isatty_r,process_value_080056f8
1,pinmap_peripheral,find_value_if_not_minus_one_080034f4
1,HAL_I2C_AddrCallback,process_input_08003880
1,HAL_I2C_ErrorCallback,check_input_and_set_flags_08003900
1,_fstat_r,set_memory_permissions_080056d4
1,HAL_TIM_PWM_MspDeInit,set_flags_based_on_value_0800340c
1,digital_io_init,set_bit_at_position_and_update_data_08003486
1,HAL_UART_RxCpltCallback,execute_function_if_value_found_08003f24
1,SysTick_Handler,update_and_return_nothing_08003476
