layer,original,predicted
0,setTx,get_value_at_index_08005b3c
0,HAL_RCC_GetSysClockFreq,calculate_value_08003a68
0,HAL_NVIC_SetPriorityGrouping,set_param_value_08002470
0,I2C_SlaveTransmit_TXE,decode_08002c54
0,set_pin_configured,set_bit_0800480a
0,get_pin_id,count_bits_set_08005f8c
0,TIM_CCxNChannelCmd,update_bits_at_offset_08004110
0,get_i2c_obj,subtract_four_from_param_08004e70
0,HAL_UART_GetState,combine_two_bytes_080047e8
0,I2C_MasterTransmit_BTF,process_input_08002efc
0,timer_disable_clock,set_bitmask_08004d90
0,HAL_RCC_GetHCLKFreq,get_value_from_pointer_08003c44
0,I2C_MasterTransmit_TXE,process_data_08002db2
0,HAL_NVIC_SetPriority,process_data_08002494
0,FUN_080006d4,calculate_value_from_parameters_080006d4
0,I2C_SlaveTransmit_BTF,increment_value_at_pointer_if_not_zero_08002ab8
0,I2C_Master_ADD10,set_value_from_array_index_080028d2
0,I2C_SlaveReceive_RXNE,handle_data_08002ca6
0,setRowOffsets,set_params_at_offset_08001294
0,_isatty,always_returns_one_08005724
0,I2C_MasterReceive_RXNE,check_string_08002f9c
0,HAL_IncTick,calculate_new_value_08001cac
0,fiprintf,process_data_08006174
0,__fixunsdfsi,convert_to_fixed_point_08000aa8
0,HAL_ADC_MspDeInit,update_flags_080049f0
0,__unorddf2,is_valid_input_08000a2c
0,IPAddress,set_ptr_value_08005c1c
0,HAL_ADC_GetState,get_value_at_offset_08001f80
0,available,calculate_checksum_0800591e
0,strlen,get_string_length_08000178
0,_exit,wait_forever_0800573c
0,__libc_init_array,execute_functions_08006198
0,_getpid_r,return_one_thunk_08005750
0,FUN_080008ba,calculate_result_080008ba
0,SetControllerDirection,update_params_08001a66
0,HAL_GetTick,get_value_from_pointer_08001cc4
0,I2C_Master_SB,set_status_08002848
0,TIM_CCxChannelCmd,update_bit_in_uint_array_08004092
0,__eqdf2,check_params_0800092c
0,get_timer_obj,subtract_four_from_input_08004df4
0,get_GPIO_Port,get_datum_by_index_08004848
0,aflCall,trigger_software_interrupt_08000ae8
0,HAL_ADC_ConfigChannel,set_parameters_08001e48
0,set_GPIO_Port_Clock,set_flag_08004884
0,HAL_SYSTICK_CLKSourceConfig,update_flag_08002560
0,setRx,set_value_at_index_08005b24
0,HAL_RTC_AlarmAEventCallback,execute_function_if_not_null_08004d18
0,_sbrk,calculate_offset_080056d8
0,UART_EndRxTransfer,clear_bits_in_memory_0800417c
0,__cxa_atexit,concatenate_or_shift_08006158
0,HAL_DMA_Abort_IT,get_value_from_ptr_0800258c
0,SystemInit,update_flags_08004d44
0,pinmap_merge_peripheral,compare_and_return_nonzero_08004d06
0,is_pin_configured,get_bit_at_position_080047f4
0,reset_pin_configured,update_bit_at_index_08004828
0,pinmap_find_peripheral,find_value_in_list_08004c5e
0,I2C_SlaveReceive_BTF,increment_pointer_if_short_not_zero_08002ad8
0,UART_Transmit_IT,parse_data_08004198
0,_read,return_zero_0800572c
0,uart_index,find_index_of_value_in_array_080055bc
0,__floatunsidf,convert_uint64_to_uint32_with_shift_0800040c
0,_printf_common,process_data_080065c0
0,I2C_Master_ADDR,decode_string_080028de
0,HAL_SYSTICK_Config,check_param_and_set_values_08002514
0,init,initialize_struct_08005a44
0,_Error_Handler,wait_forever_08004d40
0,RCC_Delay,reverse_count_0800365c
0,pinmap_find_pin,find_value_from_param_08004c8a
0,_close,return_error_code_08005714
0,HAL_UART_Transmit_IT,check_input_0800455a
0,_kill,set_pointer_value_08005740
0,HAL_NVIC_ClearPendingIRQ,set_bit_at_index_08002540
0,_fstat,set_memory_permissions_0800571a
0,HAL_I2C_Slave_Sequential_Receive_IT,process_input_08002b84
0,_getpid,return_one_08005750
0,I2C_MasterReceive_BTF,process_input_0800306c
0,HAL_UART_Receive_IT,check_and_set_values_080045a2
0,memchr,find_char_in_string_08006e90
0,__floatsidf,calculate_shifted_0800042c
0,_free_r,insert_element_at_front_080061f0
0,HAL_GPIO_Init,update_bits_08002624
0,_lseek,return_zero_08005728
0,__fixdfsi,calculate_value_08000a58
0,HAL_SYSTICK_IRQHandler,do_nothing_08002582
0,memset,fill_memory_with_value_080061e0
0,HAL_I2C_Slave_Sequential_Transmit_IT,check_function_08002af8
0,pin_in_pinmap,check_value_in_string_08004ce2
0,HAL_ADC_GetValue,get_value_at_offset_08001e40
0,HAL_GPIO_WritePin,set_param_value_0800281e
0,HAL_I2C_EnableListen_IT,set_bits_in_uint_08002c10
0,__do_global_dtors_aux,initialize_if_not_initialized_yet_0800010c
0,HAL_GPIO_ReadPin,is_param2_included_in_param1_08002810
0,pinmap_find_function,find_value_in_array_08004cb2
0,HAL_NVIC_EnableIRQ,set_bit_at_position_080024f8
1,pinmap_function,find_value_or_negative_one_08004cce
1,HAL_RCC_GetPCLK2Freq,get_shifted_value_from_pointer_08003c70
1,pinmap_pin,find_value_from_param_08004ca2
1,HAL_InitTick,check_and_set_values_08001c3c
1,startForkserver,handle_interrupt_08000aec
1,GetCurrentMilli,get_value_from_pointer_08001cc4_wrapper_08004b94
1,digital_io_write,set_param_value_if_zero_or_one_08004c30
1,HAL_I2C_ListenCpltCallback,process_data_and_set_bits_08004ec4
1,ADC_ConversionStop_Disable,check_and_update_flag_080020f0
1,HAL_TIM_PeriodElapsedCallback,execute_function_if_not_null_08004e12
1,__aeabi_cdcmpeq,check_and_return_param_080009b8_080009b8
1,ADC_Enable,check_and_update_value_08001f84
1,HAL_TIM_OC_DelayElapsedCallback,execute_callback_if_flag_set_08004df8
1,HAL_TIMEx_PWMN_Stop,update_bits_and_check_0800412c
1,HAL_RCCEx_PeriphCLKConfig,set_flags_08003c90
1,_sbrk_r,calculate_offset_and_set_value_08006920
1,_read_r,zero_return_function_0800706c
1,HAL_UART_TxCpltCallback,find_and_check_value_in_array_08005604
1,HAL_RCC_GetPCLK1Freq,get_value_shifted_by_dat_08003c50
1,_isatty_r,process_parameter_08007028
1,pinmap_peripheral,find_value_in_list_if_not_negative_08004c78
1,HAL_I2C_AddrCallback,process_input_08004e74
1,HAL_I2C_ErrorCallback,check_and_set_bits_in_uint_08004ef4
1,_fstat_r,set_memory_permissions_08007004
1,HAL_TIM_PWM_MspDeInit,set_bitmask_08004b34
1,digital_io_init,set_flag_and_update_bits_08004bb0
1,HAL_UART_RxCpltCallback,execute_function_based_on_index_080055e0
1,SysTick_Handler,calculate_and_do_nothing_08004b9e
