layer,original,predicted
0,HAL_RCC_GetSysClockFreq,calculate_value_08002008
0,rint,calculate_result_080070b0
0,HAL_NVIC_SetPriorityGrouping,set_param_bits_08001170
0,_malloc_usable_size_r,calculate_new_index_08005840
0,FUN_080006ac,calculate_result_080006ac
0,HAL_TIM_PWM_MspInit,set_flags_08004d8c
0,frame_dummy,concatenate_pointers_08000134
0,HAL_RCC_GetPCLK2Freq,get_shifted_value_08002250
0,__fixunssfsi,check_uint_080010c4
0,HAL_GPIO_TogglePin,xor_with_offset_0800142e
0,HAL_RCC_GetHCLKFreq,get_value_from_pointer_08002214
0,startForkserver,convert_param_to_longlong_08003eb0
0,__aeabi_f2d,convert_uint_to_ulonglong_08000428
0,HAL_NVIC_SetPriority,write_to_memory_08001194
0,__cmpsf2,calculate_result_08000f9c
0,HAL_IncTick,increment_ptr_dat_value_0800114c
0,serialFlush,clear_data_buffer_08004c64
0,__ieee754_sqrt,calculate_float_08006c0c
0,__unorddf2,is_valid_08000a04
0,memcpy,copy_data_to_buffer_08005630
0,Motor3_SetPWM,set_parameter_in_global_data_structure_08003fdc
0,strlen,find_end_of_string_08000150
0,Motor4_SetPWM,set_parameter_in_struct_08003fe8
0,Motor1_SetPWM,set_param_in_memory_08003fc4
0,__libc_init_array,run_functions_08004fb4
0,finite,set_sign_bit_08007092
0,HAL_RCC_GetPCLK1Freq,shift_bits_08002220
0,HAL_GetTick,get_value_from_pointer_0800115c
0,TIM_CCxChannelCmd,update_bit_08002520
0,HAL_TIMEx_ConfigBreakDeadTime,check_and_set_flag_08002564
0,TIM_OC4_SetConfig,update_config_08002324
0,HAL_SYSTICK_CLKSourceConfig,toggle_flag_08001240
0,_sbrk,add_param_to_global_sum_080072b8
0,SystemInit,set_bit_and_clear_flags_08004f10
0,MadgwickSetBeta,store_parameter_in_pointer_08003314
0,TIM_OC2_SetConfig,update_data_08002404
0,_printf_common,decode_080052e4
0,nan,shift_left_32_bits_080070a4
0,atan2,calculate_result_thunk_08006070
0,HAL_SYSTICK_Config,check_param_08001214
0,MS5611_GetFilteredAltitude,get_value_from_pointer_08003068
0,TIM_OC1_SetConfig,update_data_08002280
0,__nedf2,check_values_08000904
0,__truncdfsf2,calculate_float_bits_08000a30
0,TIM_Base_SetConfig,update_data_08002368
0,HAL_TIMEx_MasterConfigSynchronization,set_flags_and_return_value_080025a4
0,AHRS_GetRoll,calculate_average_08002ed4
0,__errno,get_value_from_pointer_to_pointer_080072ac
0,__floatunsisf,calculate_hash_08000c3c
0,TIM_OC3_SetConfig,update_data_080022d0
0,I2C_IsAcknowledgeFailed,set_flag_if_bit_set_08001436
0,MadgwickSetDelta,store_parameter_in_pointer_08003320
0,memchr,find_char_in_string_08005614
0,matherr,return_zero_0800709e
0,FUN_08000892,convert_float_to_uint_08000892
0,_free_r,insert_into_linked_list_0800567c
0,__ieee754_atan2,calculate_result_08006070
0,__aeabi_i2d,reverse_bits_08000404
0,__aeabi_f2iz,extract_bits_from_uint_08001078
0,Motor2_SetPWM,update_value_in_struct_08003fd0
0,HAL_GPIO_Init,update_bitmask_08001264
0,memmove,reverse_copy_string_08005646
0,CB_Write,increment_and_store_08003ec8
0,HAL_GPIO_WritePin,set_param_value_08001424
0,micros,get_value_from_pointer_thunk_0800115c
0,scalbn,calculate_080071c0
0,AHRS_GetPitch,calculate_new_value_08002ec0
0,__floatsisf,calculate_hash_08000c44
0,__do_global_dtors_aux,check_initialization_08000110
0,HAL_NVIC_EnableIRQ,set_bit_080011fc
1,__aeabi_cfcmpeq,concatenate_params_08001004
1,HAL_InitTick,write_to_memory_with_check_08001104
1,toggleLED,set_param_values_08003f3c
1,HAL_I2C_MspInit,update_bitmask_on_condition_08004d48
