layer,original,predicted
0,__do_global_dtors_aux,initialize_flag_08000188
0,frame_dummy,concatenate_params_080001ac
0,coolant_stop,execute_init_functions_08000210
0,select_plane,initialize_data_08000478
0,step_wr,update_flags_in_memory_080052ac
0,dirn_wr,update_status_bits_080052dc
0,limits_init,extract_flag_from_input_0800192c
0,next_block_index,increment_and_check_limit_08002870
0,prev_block_index,transform_char_08002896
0,plan_get_current_block,get_current_item_08002f74
0,plan_check_full_buffer,are_equal_data_08002fac
0,plan_set_current_position,initialize_parameters_080035ec
0,protocol_reset_line_buffer,initialize_data_08003980
0,spindle_stop,execute_initialization_08005250
0,iterate_trapezoid_cycle_counter,update_counter_and_check_threshold_08005360
0,st_feed_hold,update_status_0800587c
0,aflCall,execute_software_interrupt_0800597c
0,HAL_DeInit,initialize_data_080059f8
0,HAL_IncTick,increment_counter_08005a68
0,HAL_GetTick,get_data_08005a84
0,NVIC_SetPriority,update_memory_08006b00
0,HAL_RCC_GetSysClockFreq,calculate_clock_speed_080064ec
0,NVIC_SetPriorityGrouping,set_memory_configuration_08006950
0,NVIC_GetPriorityGrouping,get_shifted_bits_08006998
0,NVIC_EnableIRQ,set_bit_at_index_080079e0
0,NVIC_DisableIRQ,set_bit_at_offset_080069e4
0,NVIC_GetPendingIRQ,check_bit_08006a18
0,NVIC_SetPendingIRQ,set_bit_value_08006a58
0,NVIC_ClearPendingIRQ,set_bit_at_position_08006a8c
0,NVIC_GetActive,check_bit_08006ac0
0,NVIC_GetPriority,extracted_byte_08006b54
0,NVIC_EncodePriority,extract_bits_08006ba0
0,NVIC_DecodePriority,mask_and_shift_bits_08006c04
0,NVIC_SystemReset,run_infinite_loop_08006c70
0,HAL_GPIO_Init,update_registers_08006e88
0,HAL_GPIO_WritePin,set_param_value_0800733e
0,HAL_GPIO_EXTI_IRQHandler,update_data_and_call_function_0800738e
0,gpio_clr,set_bit_080073d4
0,gpio_set,set_bit_in_memory_08007402
0,Error_Handler,infinite_loop_08007430
0,SystemInit,initialize_system_0800756c
0,gpio_toggle,update_bitwise_operation_080076c8
0,gpio_rd,check_bit_08007854
0,debounce_rd,combine_values_080078f4
0,enable_tim_clock,set_flag_based_on_address_08007a10
0,step_isr_enable,set_flags_and_values_08007b70
0,step_isr_disable,clear_flags_08007bc2
0,set_step_period,update_minimum_value_08007bf0
0,set_step_pulse_delay,set_global_value_08007c40
0,set_step_pulse_time,set_global_variable_08007c5e
0,g540_timer_start,initialize_flags_08007da8
0,usart_putc,write_byte_to_register_08007e1c
0,usart_tstc,is_flag_set_08007e58
0,usart_getc,get_lowest_byte_08007e84
0,enable_usart_clock,set_memory_flags_08007ea4
0,__subdf3,calculate_080082d0
0,__aeabi_dadd,calculate_unsigned_division_080082d4
0,__floatunsidf,shift_and_concatenate_0800854c
0,__aeabi_i2d,calculate_shifted_value_0800856c
0,__aeabi_f2d,reverse_bits_08008590
0,FUN_0800881c,calculate_bitwise_difference_0800881c
0,FUN_08008a02,calculate_floating_point_representation_08008a02
0,__nedf2,check_equality_08008a74
0,__unorddf2,check_parameters_08008b74
0,__aeabi_d2iz,calculate_shifted_value_08008ba0
0,__aeabi_d2uiz,check_param_validity_08008bf0
0,__truncdfsf2,float_to_uint_08008c30
0,__aeabi_fsub,calculate_float_08008cd8
0,__addsf3,floating_point_addition_08008cdc
0,__floatunsisf,calculate_unsigned_value_08008e3c
0,__floatsisf,calculate_result_08008e44
0,__aeabi_fmul,calculate_floating_point_08008eec
0,__aeabi_fdiv,reverse_float_08009054
0,__cmpsf2,calculate_result_0800919c
0,__aeabi_f2iz,extract_and_convert_value_08009278
0,finite,extract_msb_0800b2d4
0,matherr,zero_return_function_0800b2e0
0,__errno,get_data_value_0800b3dc
0,__libc_init_array,execute_and_increment_0800b3e8
0,memset,fill_memory_with_pattern_0800b430
0,__register_exitproc,update_data_entry_0800b524
1,coolant_init,initialize_080001f8
1,get_current_usecs,calculate_adjusted_value_08000268
1,eeprom_init,initialize_memory_pattern_080002f0
1,gc_set_current_position,calculate_and_reverse_results_080004fc
1,estimate_acceleration_distance,calculate_reversed_sum_080028bc
1,intersection_distance,calculate_result_08002908
1,plan_reset_buffer,update_and_check_limit_08002ef0
1,plan_discard_current_block,update_dat_20000cf1_if_not_equal_dat_20000cf0_08002f40
1,spindle_init,initialize_data_08005238
1,set_step_events_per_minute,calculate_and_update_minimum_value_08005324
1,step_pulse_isr,update_flags_in_memory_08005760
1,step_delay_isr,update_flags_in_memory_08005778
1,st_wake_up,initialize_global_values_08005790
1,st_go_idle,initialize_flags_080057e4
1,startForkserver,execute_interrupt_if_not_executed_08005984
1,HAL_Delay,wait_for_data_08005a98
1,SysTick_Config,check_and_update_memory_08006c9c
1,HAL_RCC_OscConfig,check_conditions_08005cec
1,HAL_RCC_MCOConfig,update_registers_with_params_0800640c
1,HAL_RCC_GetHCLKFreq,calculate_and_set_clock_speed_08006628
1,HAL_NVIC_SetPriorityGrouping,configure_memory_08006ce0
1,HAL_NVIC_SetPriority,update_memory_with_shifted_bits_08006cf6
1,HAL_NVIC_EnableIRQ,set_bit_in_memory_08006d2e
1,HAL_NVIC_DisableIRQ,set_bit_at_offset_08006d4a
1,HAL_NVIC_SystemReset,run_and_repeat_08006d66
1,HAL_NVIC_GetPriorityGrouping,shifted_bits_function_08006d8a
1,HAL_NVIC_GetPriority,process_character_08006d98
1,HAL_NVIC_SetPendingIRQ,set_bit_value_08006dc4
1,HAL_NVIC_GetPendingIRQ,check_bit_08006de0
1,HAL_NVIC_ClearPendingIRQ,set_bit_at_position_08006dfe
1,HAL_NVIC_GetActive,check_bit_08006e1a
1,gpio_init,update_registers_and_params_0800778c
1,debounce_input,get_bitmask_flags_08007884
1,debounce_init,initialize_memory_080079c0
1,g540_timer_init,initialize_device_registers_08007d08
1,serial_write,write_byte_to_register_08008250
1,__io_putchar,write_byte_to_register_0800826a
1,__muldf3,calculate_bitwise_difference_08008640
1,__divdf3,calculate_floating_point_08008894
1,__aeabi_cdcmpeq,execute_and_return_param_08008b00
1,__aeabi_cfcmpeq,concatenate_params_08009204
1,lround,calculate_shifted_value_080095b8
1,round,calculate_combined_value_08009654
1,trunc,calculate_shifted_value_08009798
2,_delay_ms,wait_for_data_080002a0
2,_delay_us,find_adjusted_value_080002b6
2,eeprom_get_char,get_memory_pattern_08000310
2,eeprom_put_char,store_data_08000340
2,to_millimeters,convert_to_unsigned_int_0800056c
2,mc_reset,initialize_and_check_flags_080025e8
2,sys_sync_current_position,initialize_and_calculate_results_0800283a
2,plan_init,initialize_memory_08002f24
2,printString,write_string_bytes_0800369c
2,printPgmString,write_string_to_register_080036c6
2,print_base2,bitwise_print_080036f0
2,print_uint32_base10,write_number_to_register_08003778
2,step_period_isr,update_status_080053a0
2,st_reset,initialize_memory_08005814
2,st_init,initialize_application_0800583c
2,st_cycle_start,initialize_global_values_if_needed_0800585c
2,HAL_RCC_ClockConfig,initialize_clock_speed_0800618c
2,HAL_RCC_GetPCLK1Freq,calculate_adjusted_clock_speed_08006680
2,HAL_RCC_GetPCLK2Freq,calculate_clock_speed_080066cc
2,HAL_SYSTICK_Config,update_memory_08006d72
2,enable_tim_interrupt,update_memory_and_set_bit_08007a70
2,__aeabi_cdrcmple,execute_and_return_param_08008af0
2,__aeabi_dcmpeq,check_execution_result_08008b10
2,__aeabi_dcmplt,is_null_character_present_08008b24
2,__aeabi_cfrcmple,concatenate_params_080091fc
2,__aeabi_fcmpeq,check_if_params_concatenated_08009214
2,__aeabi_fcmplt,check_if_concatenation_empty_08009228
2,__aeabi_fcmple,check_concatenation_result_0800923c
2,__ieee754_sqrt,calculate_division_0800a1bc
2,__kernel_cos,calculate_shifted_value_0800a348
2,__kernel_sin,calculate_and_update_value_0800adf0
2,scalbn,calculate_updated_value_0800b2e8
3,memcpy_to_eeprom_with_checksum,store_data_with_checksum_08000374
3,memcpy_from_eeprom_with_checksum,check_memory_pattern_080003ec
3,limits_isr,initialize_and_check_flags_0800195c
3,read_float,parse_and_convert_08002638
3,print_uint8_base2,print_bits_08003740
3,print_uint16_base2,print_param_bits_0800375c
3,printInteger,print_absolute_value_080037fc
3,printFloat,convert_and_print_float_08003826
3,buttons_isr,check_flag_status_08003a18
3,report_status_message,display_error_message_08004030
3,report_alarm_message,display_alarm_message_08004148
3,report_feedback_message,display_status_message_080041a0
3,report_init_message,display_grbl_version_info_08004228
3,report_grbl_help,print_grbl_commands_0800423c
3,serial_rx_hook,process_byte_08005900
3,HAL_Init,initialize_memory_080059b4
3,SystemClock_Config,initialize_system_08007436
3,step_timer_init,initialize_memory_08007ad0
3,TIM2_IRQHandler,clear_flags_and_update_status_08007c7c
3,set_baud_rate,calculate_clock_speed_and_set_08007f54
3,__aeabi_dcmpge,check_execution_result_08008b4c
3,__aeabi_dcmpgt,is_input_empty_08008b60
3,__aeabi_fcmpge,check_concatenated_params_08009250
3,__aeabi_fcmpgt,check_concatenation_result_08009264
3,sqrt,process_data_080098d0
3,__ieee754_hypot,calculate_unsigned_division_08009b24
4,next_statement,check_and_update_character_0800184c
4,max_allowable_speed,calculate_final_result_08002978
4,protocol_init,initialize_grbl_080039a0
4,report_grbl_settings,print_configuration_settings_08004250
4,report_gcode_modes,print_register_info_080046d0
4,report_startup_line,print_absolute_value_08004900
4,report_realtime_status,print_status_08004940
4,settings_store_startup_line,store_data_with_checksum_08004bc0
4,settings_write_coord_data,store_data_with_checksum_08004bf4
4,write_global_settings,initialize_data_08004c2a
4,timers_init,initialize_all_08007e08
4,usart_init,initialize_memory_08008190
4,serial_read,check_flag_and_process_byte_08008286
4,ceil,calculate_float_08009318
4,floor,calculate_result_080094c0
4,hypot,calculate_and_store_hypotenuse_0800981c
4,atan,calculate_result_0800af78
5,homing_cycle,process_data_08001994
5,planner_reverse_pass_kernel,concatenate_and_update_params_080029d8
5,planner_forward_pass_kernel,concatenation_check_08002afc
5,calculate_trapezoid_for_block,calculate_shifted_sum_08002c18
5,settings_reset,initialize_data_08004c48
5,settings_read_startup_line,validate_memory_pattern_08004d2c
5,settings_read_coord_data,check_and_store_data_08004d7c
5,settings_store_global_setting,update_param_data_08004e30
5,debounce_isr,update_flags_08007930
5,atan2,calculate_result_thunk_08009990
5,__ieee754_atan2,calculate_modified_result_08009990
5,__kernel_rem_pio2,calculate_updated_value_0800a5a0
6,gc_init,initialize_and_display_error_message_080004ac
6,limits_go_home,initialize_and_process_data_08001d4c
6,planner_reverse_pass,transform_and_concatenate_08002a94
6,planner_forward_pass,concatenate_strings_08002ba8
6,planner_recalculate_trapezoids,calculate_shifted_sum_08002e08
6,report_gcode_parameters,convert_coordinates_and_print_080044e8
6,read_global_settings,check_memory_and_initialize_08004dd2
6,SysTick_Handler,perform_data_checks_08007756
6,__ieee754_rem_pio2,calculate_and_store_divisions_08009d78
7,planner_recalculate,transform_and_concatenate_strings_08002edc
7,settings_init,check_and_initialize_memory_080051b4
7,cos,calculate_result_08009410
7,sin,calculate_and_update_value_080096e8
8,plan_buffer_line,calculate_results_08003004
8,plan_cycle_reinitialize,update_data_and_transform_strings_08003618
9,st_cycle_reinitialize,initialize_data_080058a0
10,protocol_execute_runtime,process_alarm_08003a74
11,mc_line,process_alarm_and_calculate_results_08001e98
11,plan_synchronize,process_alarm_loop_08002fd4
12,coolant_run,handle_param_08000220
12,mc_arc,calculate_results_08001f00
12,mc_dwell,process_data_handling_08002408
12,mc_go_home,initialize_data_and_process_080024c4
12,spindle_run,process_parameter_0800525c
13,gc_execute_line,FUNC_080005b4
14,protocol_execute_startup,validate_and_display_memory_080039bc
15,protocol_execute_line,process_command_08003b98
16,protocol_process,process_user_input_08003f34
17,grbl_main,run_application_08001ddc
18,main,initialize_app_08007540
