layer,original,predicted
0,_lseek_r,initialize_value_and_return_000004f2
0,_fstat_r,initialize_00000514
0,_isatty_r,check_param_validity_00000534
0,bitarithm_lsb,decode_byte_00000566
0,clist_rpush,update_pointer_0000058e
0,clist_lpop,extract_value_from_pointer_000005ca
0,thread_stack_init,initialize_memory_000007dc
0,thread_isr_stack_usage,find_last_valid_offset_000008b8
0,thread_isr_stack_pointer,get_main_stack_pointer_00000900
0,thread_isr_stack_start,get_memory_address_0000091c
0,thread_yield_higher,set_bit_in_register_0000093c
0,irq_disable,check_ir_qinterrupts_00000cd0
0,irq_enable,check_ir_qinterrupts_enabled_00000cf0
0,irq_restore,enable_interrupts_if_privileged_00000d0c
0,irq_is_in,get_first_exception_number_00000d2a
0,bitband_addr,calculate_new_value_00001d08
0,wdog_disable,initialize_memory_00000dcc
0,thread_measure_stack_free,calculate_offset_000010a0
0,NVIC_EnableIRQ,set_bit_00002714
0,uart_write,copy_data_to_pointer_000015d0
0,kinetis_mcg_set_fll_factor,update_flags_00001748
0,kinetis_mcg_set_pee,initialize_data_00001ad4
0,port,apply_mask_00001d5e
0,gpio,apply_mask_00001d80
0,port_num,extract_bits_00001da2
0,pin_num,extract_lowest6_bits_00001dc0
0,get_ctx,extract_bits_from_data_00001e0c
0,write_map,update_bits_00001e44
0,tsrb_empty,check_equality_00002270
0,tsrb_full,check_parameter_difference_00002294
0,_push,increment_and_store_value_000022be
0,_pop,increment_and_access_memory_000022f0
0,aflCall,call_software_interrupt_000023c8
0,list_remove_head,extract_and_assign_next_pointer_0000240c
0,NVIC_SetPriority,update_data_00002744
0,rtc_cb,execute_callback_000026f0
0,rtt_get_counter,get_memory_address_0000281c
0,rtt_set_counter,set_flags_and_value_0000285c
0,rtt_get_alarm,increment_value_000028f0
0,rtt_clear_alarm,clear_flags_00002910
0,rtt_poweron,set_flag_0000294c
0,rtt_poweroff,disable_interrupts_00002970
0,dow,calculate_weekday_000031fc
0,NVIC_SystemReset,infinite_loop_with_sync_barriers_00003658
0,phydat_unit_to_str,get_memory_address_00003810
0,phydat_prefix_from_scale,get_character_code_00003918
0,saul_class_to_str,convert_param_to_class_name_000039e8
0,saul_reg_find_nth,find_element_00003d24
0,saul_reg_read,execute_function_00003d64
0,saul_reg_write,execute_function_00003d94
0,fmt_u32_dec,count_digits_00003dc4
0,__sfp_lock_acquire,initialize_data_00004274
0,__sfp_lock_release,initialize_data_00004280
0,__sinit_lock_acquire,initialize_system_0000428c
0,_fwalk,find_and_execute_functions_000043a0
0,memmove,copy_within_range_000045ee
0,memset,fill_memory_00004622
0,strcmp,compare_bytes_00004e52
0,strncmp,compare_bytes_00004e66
0,strtol,convert_string_to_number_00004f84
0,__tz_lock,get_data_address_000050e8
0,__tz_unlock,get_memory_location_000050f4
0,div,divide_and_remainder_00005584
0,__gettzinfo,get_memory_address_000056b0
0,__malloc_lock,initialize_data_00005790
0,__malloc_unlock,initialize_data_0000579c
0,_printf_common,calculate_length_00005a58
0,strcpy,copy_string_00005ebc
0,strlen,find_terminating_character_00005ecc
0,_strtoul_l.isra.0,parse_unsigned_int_00005edc
0,__env_lock,initialize_memory_00005fec
0,__env_unlock,initialize_memory_00005ff8
0,memchr,find_byte_sequence_00006010
0,memcpy,copy_bytes_000060b0
0,_scanf_chars,process_data_000064bc
0,__sccl,extract_and_process_data_0000687c
0,_malloc_usable_size_r,calculate_result_00006964
0,__udivmoddi4,divide_and_remainder_00006a14
1,_sbrk_r,check_and_update_rel_offset_00000428
1,sched_run,decode_and_update_data_00000610
1,sched_set_status,update_value_00000698
1,sched_switch,check_exception_threshold_00000738
1,cpu_switch_context_exit,endless_loop_00000930
1,bit_clear32,clear_memory_00000d76
1,uart_stdio_write,copy_data_to_pointer_00000e38
1,pm_off,run_infinite_loop_00000e58
1,cortexm_isr_end,check_and_set_bit_00002798
1,bit_set32,set_new_value_to_pointer_00001d3a
1,uart_init_uart,update_configuration_000014c4
1,bit_set8,set_offset_to_one_000016ec
1,bit_clear8,initialize_memory_00001710
1,ctx_clear,update_bits_from_data_00001ec4
1,gpio_set,set_bit_in_mask_00001ff6
1,tsrb_get,copy_and_decrement_0000231c
1,tsrb_add_one,process_parameter_00002364
1,startForkserver,execute_interrupt_handler_000023d0
1,cortexm_init,initialize_memory_and_registers_0000258c
1,rtc_clear_alarm,initialize_flags_000026c0
1,rtc_poweron,initialize_flags_000026d8
1,rtc_poweroff,disable_interrupts_000026e4
1,rtt_init,initialize_system_000027b0
1,rtt_set_alarm,initialize_data_00002894
1,find_handler,find_parameter_value_00002a18
1,_parse_time,extract_date_information_0000328c
1,pm_reboot,execute_infinite_loop_00003688
1,fmt_s32_dec,digit_count_00003e58
1,fmt_lpad,copy_and_fill_memory_00003ff4
1,atoi,convert_string_to_number_00004042
1,std,initialize_memory_000041f4
1,validate_structure,update_date_00004634
1,_free_r,initialize_data_00004b34
1,__sseek,update_flag_00004e26
1,__tzcalc_limits,calculate_day_for_year_00004f98
1,_findenv_r,find_equal_bytes_0000562c
1,__swhatbuf_r,set_permission_000056b8
1,_printf_i,format_number_00005b34
1,strtoul,parse_and_process_relocation_00005fd8
1,_scanf_i,reverse_and_extract_data_0000656c
1,__aeabi_ldivmod,optimize_param_range_00006974
2,sched_task_exit,initialize_memory_00000794
2,cpu_errata_fixes,initialize_memory_00000d9c
2,irq_handler_uart,process_data_00001628
2,kinetis_mcg_disable_pll,initialize_memory_00001734
2,kinetis_mcg_enable_osc,update_memory_00001778
2,kinetis_mcg_init_erclk32k,initialize_memory_000017dc
2,kinetis_mcg_init_mcgirclk,initialize_data_0000182c
2,kinetis_mcg_set_fei,initialize_and_update_flags_000018bc
2,kinetis_mcg_set_fbi,initialize_flags_and_memory_00001960
2,kinetis_mcg_set_pbe,initialize_and_set_offset_00001a60
2,kinetis_mcg_set_safe_mode,initialize_system_00001bb8
2,clk_en,update_value_with_bits_00001ddc
2,irq_handler,process_data_00002028
2,mutex_unlock,process_interrupt_000024bc
2,rtc_init,initialize_system_000025f4
2,isr_rtc,check_and_invoke_handlers_00002994
2,_reboot_handler,execute_infinite_loop_00002e9c
2,__sflush_r,process_data_0000404c
2,gmtime_r,calculate_date_components_0000443c
2,_malloc_r,allocate_memory_block_00004bd0
2,__swrite,process_data_00004dee
2,_getenv_r,find_equal_bytes_000056a0
2,free,initialize_data_00005780
2,__ssrefill_r,initialize_data_00006192
3,pre_startup,initialize_memory_00000db0
3,isrpipe_write_one,process_and_interrupt_000012b4
3,isr_uart0_rx_tx,initialize_data_processing_00001688
3,kinetis_mcg_set_fee,initialize_memory_0000191c
3,kinetis_mcg_set_fbe,initialize_and_check_memory_000019c0
3,kinetis_mcg_set_blpi,initialize_system_00001a18
3,kinetis_mcg_set_blpe,initialize_program_00001a3c
3,gpio_init_port,update_value_with_bits_00001f80
3,isr_porta,initialize_data_processing_000020b8
3,isr_portb,process_data_000020cc
3,isr_portc,initialize_data_processing_000020e0
3,isr_portd,initialize_data_processing_000020f4
3,isr_porte,initialize_data_processing_00002108
3,periph_init,initialize_system_00002396
3,rtc_get_time,calculate_date_components_00002624
3,rtc_get_alarm,initialize_date_components_00002690
3,__sfmoreglue,allocate_and_initialize_memory_00004248
3,__smakebuf_r,allocate_and_set_permissions_00005700
3,_realloc_r,allocate_and_copy_data_000060cc
3,__ssvfiscanf_r,process_data_000061cc
4,uart_init_pins,update_values_00001448
4,kinetis_mcg_set_mode,initialize_00001b10
4,gpio_init,update_and_store_value_with_bits_00001eea
4,siscanf,process_data_00005e68
4,__submore,allocate_or_resize_memory_000068f0
5,kinetis_mcg_init,initialize_system_00001c84
5,_tzset_unlocked,parse_binary_data_00005100
6,cpu_init,initialize_and_setup_system_00001274
6,mktime,calculate_updated_date_000047e4
7,board_init,initialize_system_00000e64
7,rtc_set_time,update_date_and_flags_00002600
7,rtc_set_alarm,initialize_data_and_date_00002654
8,_alarm_handler,ring_alarm_000031e0
8,_rtc_setalarm,check_alarm_000033f4
8,_rtc_settime,handle_date_information_00003478
8,_rtc_usage,print_usage_message_000034c0
9,cpu_print_last_instruction,initialize_data_00000ed8
9,ps,print_process_information_0000211c
9,_print_time,print_date_time_00003378
10,_ps_handler,print_process_information_00002eb4
11,_fflush_r,validate_data_00004158
11,__sfp,initialize_and_allocate_memory_00004314
11,__swsetup_r,update_permissions_000054a8
12,fflush,validate_relocations_000041d0
12,__sinit,initialize_system_000042a4
13,__swbuf_r,process_data_00005404
13,__srefill_r,execute_data_processing_00006768
14,putchar,process_input_00004cb4
14,puts,process_and_format_data_00004db8
14,__sfputc_r,update_data_000057a8
14,__srget_r,process_data_00005e10
15,_putchar,process_input_00002a00
15,_rtc_getalarm,check_and_print_date_time_000033c0
15,_rtc_gettime,get_and_print_date_time_00003444
15,getchar,process_data_00004418
15,__sfputs_r,data_update_function_000057d2
16,readline,process_input_00002d94
16,print_prompt,initialize_and_validate_relocations_00002e48
16,_vfprintf_r,update_data_000057f8
17,iprintf,initialize_and_update_data_00004c84
18,print_help,print_command_descriptions_00002a88
18,list,print_device_list_00002f74
18,_rtc_handler,process_command_00003524
19,handle_input_line,process_input_string_00002b10
20,shell_run,process_input_loop_00002e6c
21,main,initialize_system_000023a4
22,core_panic,kernel_panic_handler_00000f04
23,nmi_default,handle_nmi_interrupt_00000a30
23,dummy_handler_default,disable_ir_qinterrupts_and_get_interrupts_status_00000cc0
23,cib_init,initialize_param_00000fec
23,thread_add_to_list,find_and_set_next_ptr_00001034
23,uart_init,handle_kernel_panic_000013b8
23,fmt_s32_dfp,convert_number_to_string_with_base_00003ec4
24,dummy_handler,disable_interrupts_and_retrieve_status_00000dc0
24,uart_stdio_init,handle_kernel_panic_00000df4
24,thread_create,allocate_memory_000010d4
24,_mutex_lock,handle_interrupt_00002434
24,fmt_s16_dfp,convert_number_to_string_00003e9e
25,_init,handle_kernel_panic_00000410
25,kernel_init,initialize_memory_00000f8c
25,mutex_lock,handle_interrupt_and_return_0000129c
25,phydat_dump,display_data_object_00003694
26,isrpipe_read,copy_and_decrement_loop_000012e2
26,probe,read_data_from_device_00002ecc
26,write,write_to_device_0000305c
26,__libc_init_array,execute_kernel_functions_0000459c
27,uart_stdio_read,copy_and_decrement_loop_00000e14
27,probe_all,process_device_data_00002f30
28,_read_r,copy_and_decrement_loop_00000490
28,read,process_device_data_00002fe0
29,_saul,process_input_0000316c
29,__sread,update_value_00004dc8
