layer,original,predicted
0,__do_global_dtors_aux,set_flag_if_not_set_0800010c
0,strlen,get_string_length_08000178
0,aflCall,execute_software_interrupt_08000188
0,disableI2CPins,initialize_data_080005e0
0,isTimerActive,check_flag_08002400
0,Servo,initialize_data_08002580
0,attach,initialize_data_08003370
0,writeMicroseconds,update_array_index_0800267c
0,attached,extract_most_significant_bit_080026f8
0,available,calculate_offset_08008afa
0,TwoWire,initialize_settings_0800291c
0,beginTransmission,initialize_data_08002a30
0,staticAnalogCallback,execute_callback_08002c2c
0,getPinMode,extract_memory_value_08002fa0
0,setPinMode,update_character_value_08002fa8
0,getPinState,get_memory_value_08002fba
0,setPinState,store_value_in_array_08002fc2
0,encodeByteStream,decode_and_process_data_0800307a
0,FirmataMarshaller,initialize_param_0800314e
0,sendVersion,execute_function_0800322c
0,FirmataParser,initialize_data_structure_080032bc
0,bufferDataAtPosition,update_memory_08003376
0,decodeByteStream,copy_and_shift_bits_080033a8
0,systemReset,initialize_memory_0800344a
0,init,initialize_parameters_08008c20
0,pinNametoDigitalPin,check_parameter_080036ac
0,HAL_IncTick,update_sum_08003748
0,HAL_GetTick,get_data_value_08003760
0,HAL_ADC_GetValue,get_offset_value_080038dc
0,HAL_ADC_ConfigChannel,update_registers_080038e4
0,HAL_ADC_GetState,get_pointer_from_offset_08003a1c
0,HAL_NVIC_SetPriorityGrouping,update_control_register_08003f0c
0,HAL_NVIC_SetPriority,update_memory_08003f30
0,HAL_NVIC_EnableIRQ,set_bit_at_index_08003f94
0,HAL_NVIC_DisableIRQ,set_bit_in_memory_and_sync_08003fb0
0,HAL_SYSTICK_Config,set_input_values_08003fd8
0,HAL_NVIC_ClearPendingIRQ,set_bit_to1_08004004
0,HAL_SYSTICK_CLKSourceConfig,update_status_register_08004024
0,HAL_SYSTICK_IRQHandler,initialize_08004046
0,HAL_DMA_Abort_IT,initialize_data_08004050
0,HAL_GPIO_Init,update_memory_080040e8
0,HAL_GPIO_ReadPin,check_bit_080042d4
0,HAL_GPIO_WritePin,store_param_080042e2
0,I2C_Master_SB,update_status_0800430c
0,I2C_Master_ADD10,extract_value_and_assign_08004396
0,I2C_Master_ADDR,process_flags_080043a2
0,I2C_SlaveTransmit_BTF,update_data_pointer_0800457c
0,I2C_SlaveReceive_BTF,update_data_and_decrement_counter_0800459c
0,HAL_I2C_Master_Transmit_IT,validate_parameters_08004728
0,HAL_I2C_Master_Receive_IT,process_data_080047f4
0,HAL_I2C_Slave_Sequential_Transmit_IT,validate_input_080048c8
