layer,original,predicted
0,TIM_TI2_ConfigInputStage,set_flags_and_values_08004104
0,frexp,convert_to_float_080096e0
0,HAL_RCC_GetSysClockFreq,calculate_result_08003440
0,NVIC_SetPriority,update_data_08001618
0,NVIC_EncodePriority,set_bits_0800166c
0,__mcmp,compare_arrays_080094f8
0,frame_dummy,concatenate_values_08000134
0,__fixunssfsi,decode_uint_08001044
0,HAL_RCC_GetHCLKFreq,get_value_from_pointer_08003504
0,__aeabi_f2d,convert_uint_to_uint64_08000418
0,__cmpsf2,calculate_result_08000f68
0,HAL_IncTick,add_byte_to_int_and_store_as_uint_0800157c
0,__unorddf2,is_valid_input_08001170
0,memcpy,copy_memory_block_08001084
0,HAL_TIM_Base_Start_IT,set_bit_0800360c
0,NVIC_GetPriorityGrouping,get_bits_from_address_080015fc
0,__malloc_lock,do_nothing_with_ptr_data_080090a8
0,sprintf,clear_string_at_pointer_08005dfc
0,strlen,find_first_set_bit_08005e40
0,__libc_init_array,execute_functions_08005d20
0,HAL_GetTick,get_value_from_pointer_080015a0
0,TIM_CCxChannelCmd,update_bit_080041ea
0,__register_exitproc,allocate_memory_080098c0
0,aflCall,print_interrupt_message_08004e6c
0,HAL_TIMEx_ConfigBreakDeadTime,calculate_checksum_0800422e
0,TIM_OC4_SetConfig,update_data_structure_08003ff8
0,_localeconv_r,get_function_address_08008ad4
0,HAL_SYSTICK_CLKSourceConfig,set_flag_if_param_1_equals_4_0800177c
0,__aeabi_d2iz,calculateValue_0800119c
0,FUN_080006a4,binary_conversion_080006a4
0,SystemInit,set_bit_and_clear_other_bits_08005780
0,__lo0bits,count_set_bits_080091e4
0,__malloc_unlock,do_nothing_with_ptr_data_080090b4
0,TIM_OC2_SetConfig,update_params_08003e38
0,_i2c_read_reg,process_data_08004ee8
0,__floatunsidf,calculate_shifted_value_080003d4
0,atan2,calculate_output_thunk_08005838
0,_Error_Handler,infinite_loop_08005674
0,TIM_OC1_SetConfig,configure_device_08003d60
0,__nedf2,check_overlap_080008fc
0,__truncdfsf2,calculate_float_080009fc
0,RCC_Delay,calculate_delay_08003568
0,_Bfree,extract_data_0800910c
0,TIM_Base_SetConfig,set_values_08003c94
0,HAL_TIMEx_MasterConfigSynchronization,set_value_if_not_set_080042de
0,__errno,get_value_from_pointer_08005d14
0,__floatunsisf,leading_zero_bits_08000c08
0,TIM_ETR_SetConfig,set_bits_in_uint_at_offset_080041a8
0,TIM_OC3_SetConfig,update_params_08003f18
0,I2C_IsAcknowledgeFailed,is_flag_set_08002d3c
0,__aeabi_uldivmod,calculate_result_080011ec
0,memchr,find_first_occurrence_of_byte_0800901c
0,NVIC_SetPriorityGrouping,setParam_080015b4
0,__hi0bits,count_left_shifts_080091a4
0,TIM_TI1_ConfigInputStage,update_data_080040a0
0,__ieee754_atan2,calculate_08005838
0,__aeabi_i2d,calculate_shifted_value_080003f4
0,HAL_GPIO_Init,process_data_080017c4
0,FUN_0800088a,calculate_result_0800088a
0,memset,write_bytes_to_buffer_08005d68
0,memmove,reverse_copy_08009a18
0,HAL_GPIO_WritePin,set_param_value_08001a80
0,TIM_ITRx_SetConfig,set_permissions_0800416a
0,__floatsisf,calculate_hash_08000c10
0,__do_global_dtors_aux,initialize_if_needed_08000110
0,strncpy,copy_string_08009768
1,HAL_NVIC_SetPriorityGrouping,set_parameter_for_function_08001714
1,__aeabi_cfcmpeq,combine_params_08000fd0
1,HAL_RCC_GetPCLK2Freq,get_value_shifted_by_pointer_index_08003540
1,startForkserver,check_interrupt_and_print_message_08004e74
1,HAL_NVIC_SetPriority,update_data_with_bits_0800172a
1,HAL_TIM_ConfigClockSource,set_permissions_and_bits_08003a94
1,HAL_TIM_PWM_Init,validate_input_and_set_values_08003640
1,__aeabi_cdcmpeq,check_for_overlap_08000988
1,I2C_WaitOnBTFFlagUntilTimeout,check_flag_08002c2e
1,quorem,calculate_division_080078c0
1,_calloc_r,allocate_memory_and_initialize_to_zero_08009980
1,HAL_RCC_GetPCLK1Freq,get_shifted_value_from_pointer_08003518
1,_sbrk,calculateReturnValue_08005728
1,register_fini,allocate_memory_if_not_null_080078a0
1,mpu6050_calc_pitch,calculate_output_08004bd8
1,SysTick_Config,is_param_in_range_080016d0
1,I2C_WaitOnTXEFlagUntilTimeout,check_flag_and_get_result_08002bb4
1,mpu6050_calc_acc_pitch_roll,calculate_output_and_float_08004d78
1,__ssprint_r,reverse_copy_and_update_080097cc
1,flush_strbuf,clear_buffer_08004f60
1,MX_GPIO_Init,set_flags_and_process_data_080055f4
1,I2C_WaitOnMasterAddressFlagUntilTimeout,check_condition_08002ad8
1,HAL_TIM_MspPostInit,process_if_param_equals_constant_08005680
1,HAL_UART_Transmit,validate_input_08004436
1,I2C_WaitOnRXNEFlagUntilTimeout,check_condition_08002ca8
1,mpu6050_update,calculate_hashes_and_store_08004ae0
1,HAL_TIM_PWM_ConfigChannel,configure_device_08003908
1,_get_ms_tick,get_value_from_pointer_08004f2c
1,HAL_TIM_Base_Init,check_values_080035a4
1,HAL_TIM_PWM_Start,set_bit_and_check_for_match_080036a8
2,I2C_RequestMemoryRead,perform_operation_on_pointer_080027f4
2,I2C_RequestMemoryWrite,check_and_get_result_08002640
2,uart_print,validate_input_and_return_08004f3c
2,__aeabi_cdrcmple,check_for_overlap_08000978
2,_sbrk_r,calculate_result_and_set_08009744
2,_Balloc,allocate_or_get_existing_data_080090c0
2,__aeabi_dcmpeq,check_for_non_overlapping_memory_regions_08000998
2,UART_SetConfig,calculate_values_080046ec
2,mpu6050_calibrate,calculate_and_store_hashes_080049cc
2,HAL_SYSTICK_Config,check_param_range_08001762
2,MX_TIM1_Init,initialize_device_080053b0
2,HAL_I2C_Init,calculate_and_set_values_08001ab0
2,__aeabi_dcmple,check_for_overlap_and_return_result_080009c0
2,__aeabi_cfrcmple,combine_params_and_reverse_order_08000fc8
2,__aeabi_fcmplt,is_end_of_string_08000ff4
2,__aeabi_dcmplt,check_if_string_terminated_080009ac
2,MX_TIM2_Init,initialize_memory_region_08005500
3,__aeabi_dcmpgt,check_if_string_terminated_080009e8
3,HAL_InitTick,check_param_range_0800151c
3,__aeabi_fcmpgt,check_input_string_08001030_08001030
3,__multadd,calculate_polynomial_08009120
3,__d2b,calculate_shifts_and_bits_08009630_08009630
3,mpu6050_init,initialize_params_and_calculate_hashes_0800491c
3,_malloc_trim_r,calculate_result_and_set_0800884c
3,HAL_I2C_Mem_Write,check_and_get_result_08001ccc
3,MX_I2C1_Init,initialize_data_08005348
3,__aeabi_dcmpge,check_for_overlap_and_return_true_if_not_overlapping_080009d4
3,HAL_UART_Init,check_input_values_0800438a
3,__multiply,calculate_hash_08009258
3,__lshift,unpack_bits_08009444
3,__mdiff,compare_and_allocate_data_08009530
3,__i2b,initialize_data_08009244
4,__pow5mult,hash_calculator_080093a4
4,HAL_TIM_PeriodElapsedCallback,process_input_data_08004f78
4,MX_USART1_UART_Init,initialize_values_08005598
4,HAL_RCC_ClockConfig,check_and_calculate_result_08003260
4,_i2c_write_reg,check_result_and_get_value_08004ea4
4,HAL_Init,set_flag_and_call_function_080014f0
5,HAL_TIM_IRQHandler,process_flags_080036f8
5,HAL_SYSTICK_IRQHandler,process_input_and_return_080017b4
5,SystemClock_Config,calculate_result_and_update_data_080052a0
6,TIM2_IRQHandler,process_flags_08005714
6,SysTick_Handler,process_input_and_return_08005704
6,main,initialize_and_process_data_08005224
7,Reset_Handler,copy_data_and_clear_memory_080057e8
