layer,original,predicted
0,__do_global_dtors_aux,initialize_flag_if_not_set_000800f4
0,Servo,decode_and_store_value_000805a8
0,write,update_data_000812b8
0,PIO_SetPeripheral,update_value_000809be
0,PIO_SetInput,update_parameters_000809e4
0,PIO_SetOutput,set_param_values_00080a0a
0,PIO_GetOutputDataStatus,check_and_return_result_00080a94
0,pmc_enable_periph_clk,check_bit_and_set_00080aa8
0,TC_SetRA,update_array_element_00080b90
0,SystemInit,initialize_system_00080b98
0,adc_init,calculate_threshold_00080c98
0,adc_configure_trigger,update_value_with_params_00080d30
0,adc_configure_timing,update_configuration_00080d3e
0,adc_disable_channel,set_bit_00080d58
0,adc_disable_all_channel,initialize_value_00080d62
0,adc_disable_interrupt,set_pointer_value_00080d6a
0,__false,initialize_application_00080e80
0,_sbrk,add_with_previous_value_00080e88
0,_close,initialize_return_value_00080eaa
0,_fstat,initialize_memory_00080eb0
0,_isatty,initialize_application_00080eba
0,_lseek,initialize_00080ebe
0,_read,initialize_00080ec2
0,_write,copy_bytes_00080ec8
0,_getpid,get_default_value_00080efe
0,millis,get_global_variable_thunk_000816d8
0,tickReset,execute_if_relocation_complete_00081190
0,store_char,update_index_and_value_000811ca
0,available,calculate_difference_00081248
0,read,get_next_byte_00081276
0,UARTClass,initialize_function_00081348
0,map,calculate_interpolation_0008145c
0,toInt,extract_number_000815de
0,_watchdogDefaultSetup,initialize_data_00081618
0,countPulseASM,check_condition_00081684
0,GetTickCount,get_data_value_000816d8
0,__aeabi_atexit,update_parameters_000816ec
0,__libc_init_array,execute_functions_00081778
0,memcpy,copy_memory_00081d48
0,memmove,copy_memory_00081e34
0,memset,fill_memory_with_pattern_00081f00
0,strcmp,compare_buffers_00082390
0,strcpy,copy_string_000825cc
0,strlen,count_leading_zeros_00082688
0,__locale_charset,get_magic_number_00084004
0,__locale_mb_cur_max,get_relocation_offset_0008400c
0,memchr,find_first_occurrence_000840f8
0,_getpid_r,get_return_value_thunk_00080efe
0,__ascii_wctomb,update_memory_0008439c
0,__divdi3,calculate_division_000845c0
0,__udivdi3,divide_and_find_remainder_00084860
1,serialEventRun,check_and_execute_functions_00080970
1,PIO_Configure,update_value_00080a30
1,RingBuffer,initialize_memory_000811b0
1,timedRead,process_data_000811e8
1,USARTClass,initialize_and_set_data_00081438
1,equals,check_buffer_validity_000815b8
1,pulseIn,calculate_result_00081624
1,_sbrk_r,update_value_and_check_0008236c
1,__sinit,initialize_data_structures_00083888
1,raise,translate_value_000841e4
1,_wcrtomb_r,execute_elf_relocation_0008434c
1,_fstat_r,initialize_and_check_memory_00084494
1,_isatty_r,initialize_application_000844bc
1,_lseek_r,initialize_and_check_000844e0
1,_read_r,initialize_and_check_value_00084508
1,__gnu_ldivmod_helper,subtract_and_calculate_difference_0008455c
1,__gnu_uldivmod_helper,calculate_remainder_0008458c
2,straightAndStop,interpolate_data_00080164
2,_GLOBAL__sub_I_g_APinDescription,initialize_all_memory_0008089c
2,pinMode,update_parameter_value_00080f0c
2,printNumber,convert_decimal_to_base_000810fc
2,_malloc_trim_r,update_and_check_value_00083a74
2,__sread,update_value_based_on_initialization_result_00084220
2,__swrite,process_data_00084244
2,__sseek,initialize_and_check_0008427c
2,__aeabi_uldivmod,calculate_remainder_00084530
3,digitalWrite,update_parameter_value_00081014
3,print,convert_decimal_thunk_0008113a
3,_free_r,process_relocation_00083b10
4,Servo_Handler,update_parameter_value_0008044c
4,println,calculate_sum_with_converted_base_0008117a
4,free,process_relocated_offset_00081800
4,_malloc_r,reallocate_memory_00081810
4,_fflush_r,process_data_00083850
5,~String,process_and_return_pointer_00081472
5,invalidate,reset_variables_00081480
5,move,copy_and_reset_parameters_0008151c
5,malloc,reallocate_memory_000817f0
5,_realloc_r,reallocate_or_copy_memory_00081fac
5,__smakebuf_r,initialize_memory_00084018
5,fclose,process_data_00084484
6,operator=,check_and_reset_parameters_00081560
6,realloc,reallocate_or_copy_memory_00081f9c
6,__swsetup_r,handle_relocation_0008356c
7,changeBuffer,reallocate_or_copy_memory_and_update_00081496
7,__sfvwrite_r,process_data_00083ca8
7,__swbuf_r,process_data_000842a4
8,reserve,check_memory_and_update_000814ae
8,_fputwc_r,execute_relocation_000839b4
9,copy,update_memory_and_copy_string_000814d0
9,__sprint_r.part.0,process_data_00082824
10,String,initialize_memory_and_copy_string_000814f6
10,concat,update_string_and_memory_0008159e
11,readStringUntil,process_and_update_string_00081214
12,loop,control_system_00080250
13,fiprintf,execute_relocation_00081750
13,iprintf,process_relocation_000817c8
13,__sbprintf,process_data_000834f0
14,_exit,exit_with_status_00080eec
14,_vfiprintf_r,process_data_0008289c
15,abort,initialize_translation_000836ec
16,__assert_func,assertion_failed_000816f8
17,TC_Configure,configure_tc_channel_00080b2c
18,_initISR,configure_and_start_tc_channel_000803fc
19,attach,update_parameter_value_000806a0
20,setup,initialize_and_check_module_000801e0
21,main,run_control_system_000815ec
