layer,original,predicted
0,__do_global_dtors_aux,initialize_flag_000800f4
0,calcCRC,calculate_crc_0008021c
0,validateAnswer,check_and_update_value_000803d4
0,PIO_SetPeripheral,update_value_00080d2e
0,PIO_SetInput,update_param_values_00080d54
0,PIO_SetOutput,set_param_values_00080d7a
0,PIO_GetOutputDataStatus,check_bitwise_conditions_00080e04
0,pmc_enable_periph_clk,check_and_set_bit_00080e18
0,SystemInit,initialize_memory_00080e9c
0,adc_init,calculate_index_00080f9c
0,adc_configure_trigger,set_bitwise_flag_00081034
0,adc_configure_timing,set_parameters_00081042
0,adc_disable_channel,set_bit_0008105c
0,adc_disable_all_channel,initialize_value_00081066
0,adc_disable_interrupt,set_param_value_0008106e
0,__false,return_zero_00081184
0,_sbrk,calculate_sum_0008118c
0,_close,get_default_value_000811ae
0,_fstat,initialize_memory_000811b4
0,_isatty,check_if_one_000811be
0,_lseek,initialize_application_000811c2
0,_read,clear_memory_000811c6
0,_write,process_data_000811cc
0,millis,get_data_value_thunk_00081714
0,tickReset,execute_if_relocation_offset_is_zero_00081388
0,store_char,update_and_store_byte_000813c2
0,available,calculate_difference_000813e4
0,UARTClass,initialize_function_000814e4
0,makeWord,combine_params_000815f8
0,_watchdogDefaultSetup,initialize_memory_000816d4
0,GetTickCount,get_data_00081714
0,__aeabi_fsub,calculate_floating_point_00081730
0,__addsf3,floating_point_addition_00081734
0,__floatunsisf,calculate_value_00081894
0,__floatsisf,calculate_unsigned_value_0008189c
0,__aeabi_fmul,compute_float_00081944
0,__cmpsf2,calculate_result_00081bf4
0,__aeabi_f2iz,decode_value_00081cd0
0,__fixunssfsi,reverse_bit_pattern_00081d1c
0,__aeabi_atexit,update_relocation_entry_00081d5c
0,__libc_init_array,execute_functions_00081d7c
0,memcpy,copy_memory_0008234c
0,memmove,reverse_copy_00082438
0,memset,fill_memory_00082504
0,strcpy,copy_string_00082994
0,strlen,count_leading_zeros_00082a50
0,register_fini,copy_data_00083974
0,__locale_charset,get_memory_address_00084290
0,__locale_mb_cur_max,get_relocation_info_00084298
0,memchr,find_first_occurrence_00084384
0,__ascii_wctomb,initialize_character_000845bc
0,__divdi3,divide_with_remainder_000847e0
0,__udivdi3,division_with_carry_00084a80
1,get_FC3,process_data_00080410
1,init,set_config_values_00081508
1,serialEventRun,check_and_call_functions_00080ce0
1,PIO_Configure,update_param_value_00080da0
1,RingBuffer,initialize_memory_000813a8
1,USARTClass,initialize_and_update_data_000815d4
1,__aeabi_cfcmpeq,concatenate_parameters_00081c5c
1,_sbrk_r,update_parameter_if_sum_negative_00082970
1,__sinit,initialize_data_structures_00083b14
1,_wcrtomb_r,check_and_execute_function_0008456c
1,_fstat_r,initialize_and_check_memory_000846b4
1,_isatty_r,extract_data_and_check_000846dc
1,_lseek_r,initialize_application_00084700
1,_read_r,initialize_memory_00084728
1,__gnu_ldivmod_helper,calculate_difference_and_store_0008477c
1,__gnu_uldivmod_helper,subtract_and_shift_000847ac
2,_GLOBAL__sub_I_g_APinDescription,initialize_and_set_up_memory_00080c0c
2,pinMode,update_param_value_00081210
2,__aeabi_cfrcmple,concatenate_parameters_00081c54
2,__aeabi_fcmple,check_parameter_concatenation_00081c94
2,_malloc_trim_r,update_elf_relocation_00083d00
2,__swrite,process_data_00084464
2,__sseek,initialize_application_status_0008449c
2,__aeabi_uldivmod,calculate_result_00084750
3,digitalWrite,update_param_and_set_values_00081318
3,__aeabi_fcmpge,check_concatenated_parameters_00081ca8
3,_free_r,update_elf_relocation_00083d9c
4,getRxBuffer,process_param_000801b0
4,sendTxBuffer,update_parameter_and_set_value_00080258
4,free,FUNC_00081e04
4,_malloc_r,relocate_elf_relocations_00081e14
4,_fflush_r,process_data_00083adc
5,query,validate_and_update_parameters_000802da
5,poll,process_data_0008043e
5,setup,initialize_system_000804a8
5,~String,execute_function_000815fe
5,invalidate,reset_parameters_0008160c
5,malloc,relocate_elf_relocations_00081df4
5,_realloc_r,reallocate_memory_000825b0
5,__smakebuf_r,verify_and_initialize_000842a4
5,fclose,process_and_initialize_000846a4
6,loop,process_data_and_calculate_values_000805d0
6,realloc,reallocate_memory_000825a0
6,__swsetup_r,initialize_data_structures_00083808
7,changeBuffer,reallocate_and_update_memory_00081622
7,main,main_loop_000816a8
7,__sfvwrite_r,process_data_00083f34
7,__swbuf_r,process_data_000844c4
8,reserve,check_and_reallocate_memory_0008163a
8,_fputwc_r,process_data_00083c40
9,copy,update_parameters_0008165c
9,__sprint_r.part.0,process_and_validate_data_00082ac0
10,String,initialize_parameters_00081682
11,_GLOBAL__sub_I__ZN6ModbusC2Ev,initialize_function_00080a68
12,__sbprintf,process_data_0008378c
