layer,original,predicted
0,__do_global_dtors_aux,initialize_flag_0800010c
0,strlen,find_end_of_string_08000178
0,aflCall,execute_system_interrupt_08000188
0,disableI2CPins,initialize_data_080005e0
0,isTimerActive,check_flag_08002400
0,Servo,initialize_data_08002580
0,attach,set_parameters_08003370
0,writeMicroseconds,update_array_value_0800267c
0,attached,extract_bit_080026f8
0,available,calculate_checksum_08008afa
0,TwoWire,initialize_parameters_0800291c
0,beginTransmission,initialize_data_08002a30
0,staticAnalogCallback,execute_callback_08002c2c
0,getPinMode,get_value_from_offset_08002fa0
0,setPinMode,update_character_08002fa8
0,getPinState,get_value_from_offset_08002fba
0,setPinState,write_value_to_memory_08002fc2
0,encodeByteStream,decode_data_0800307a
0,FirmataMarshaller,initialize_param_0800314e
0,sendVersion,execute_function_0800322c
0,FirmataParser,initialize_data_080032bc
0,bufferDataAtPosition,update_data_08003376
0,decodeByteStream,copy_and_shift_bits_080033a8
0,systemReset,initialize_data_0800344a
0,init,initialize_data_08008c20
0,pinNametoDigitalPin,find_character_index_080036ac
0,HAL_IncTick,update_sum_08003748
0,HAL_GetTick,get_data_08003760
0,HAL_ADC_GetValue,get_offset_value_080038dc
0,HAL_ADC_ConfigChannel,update_registers_080038e4
0,HAL_ADC_GetState,get_offset_value_08003a1c
0,HAL_NVIC_SetPriorityGrouping,update_register_value_08003f0c
0,HAL_NVIC_SetPriority,update_memory_08003f30
0,HAL_NVIC_EnableIRQ,set_bit_08003f94
0,HAL_NVIC_DisableIRQ,set_bit_in_memory_08003fb0
0,HAL_SYSTICK_Config,initialize_memory_08003fd8
0,HAL_NVIC_ClearPendingIRQ,set_bit_08004004
0,HAL_SYSTICK_CLKSourceConfig,set_flag_08004024
0,HAL_SYSTICK_IRQHandler,initialize_08004046
0,HAL_DMA_Abort_IT,initialize_data_08004050
0,HAL_GPIO_Init,update_registers_080040e8
0,HAL_GPIO_ReadPin,check_bit_080042d4
0,HAL_GPIO_WritePin,set_param_value_080042e2
0,I2C_Master_SB,update_flag_value_0800430c
0,I2C_Master_ADD10,set_param_value_08004396
0,I2C_Master_ADDR,update_flags_080043a2
0,I2C_SlaveTransmit_BTF,update_data_0800457c
0,I2C_SlaveReceive_BTF,update_data_0800459c
0,HAL_I2C_Master_Transmit_IT,process_data_08004728
0,HAL_I2C_Master_Receive_IT,process_data_080047f4
0,HAL_I2C_Slave_Sequential_Transmit_IT,initialize_parameters_080048c8
0,HAL_I2C_Slave_Sequential_Receive_IT,validate_input_08004954
0,HAL_I2C_EnableListen_IT,initialize_data_080049e0
0,I2C_SlaveTransmit_TXE,process_data_08004a24
0,I2C_SlaveReceive_RXNE,process_data_08004a76
0,I2C_MasterTransmit_TXE,process_data_08004b82
0,I2C_MasterTransmit_BTF,process_parameter_08004ccc
0,I2C_MasterReceive_RXNE,update_flags_and_values_08004d6c
0,I2C_MasterReceive_BTF,process_data_08004e3c
0,HAL_I2C_GetState,get_byte_from_offset_0800542a
