layer,original,predicted
0,__do_global_dtors_aux,initialize_flag_08000188
0,frame_dummy,concatenate_params_080001ac
0,coolant_stop,initialize_system_components_08000210
0,select_plane,initialize_parameters_08000478
0,step_wr,update_data_with_mask_080052ac
0,dirn_wr,update_data_with_mask_080052dc
0,limits_init,extract_flag_from_data_0800192c
0,next_block_index,increment_and_check_limit_08002870
0,prev_block_index,decrement_and_set_default_08002896
0,plan_get_current_block,get_current_data_block_08002f74
0,plan_check_full_buffer,are_data_values_equal_08002fac
0,plan_set_current_position,initialize_parameters_080035ec
0,protocol_reset_line_buffer,initialize_data_state_08003980
0,spindle_stop,initialize_system_08005250
0,iterate_trapezoid_cycle_counter,check_if_threshold_exceeded_08005360
0,st_feed_hold,update_status_if_condition_met_0800587c
0,aflCall,execute_system_interrupt_0800597c
0,HAL_DeInit,initialize_data_080059f8
0,HAL_IncTick,increment_data_counter_08005a68
0,HAL_GetTick,get_data_value_08005a84
0,NVIC_SetPriority,write_data_to_memory_08006b00
0,HAL_RCC_GetSysClockFreq,calculate_clock_frequency_080064ec
0,NVIC_SetPriorityGrouping,set_bits_in_register_08006950
0,NVIC_GetPriorityGrouping,get_shifted_bits_08006998
0,NVIC_EnableIRQ,set_bit_in_memory_080079e0
0,NVIC_DisableIRQ,set_bit_in_memory_080069e4
0,NVIC_GetPendingIRQ,check_bit_set_08006a18
0,NVIC_SetPendingIRQ,set_bit_in_memory_08006a58
0,NVIC_ClearPendingIRQ,set_bit_in_memory_08006a8c
0,NVIC_GetActive,check_bit_set_08006ac0
0,NVIC_GetPriority,extract_byte_from_binary_08006b54
0,NVIC_EncodePriority,bitwise_operation_08006ba0
0,NVIC_DecodePriority,extract_and_mask_bits_08006c04
0,NVIC_SystemReset,run_infinite_loop_08006c70
0,HAL_GPIO_Init,update_parameters_08006e88
0,HAL_GPIO_WritePin,set_param_value_0800733e
0,HAL_GPIO_EXTI_IRQHandler,update_data_and_call_function_0800738e
0,gpio_clr,set_bit_in_memory_080073d4
0,gpio_set,set_bit_value_in_memory_08007402
0,Error_Handler,run_infinite_loop_08007430
0,SystemInit,initialize_system_0800756c
0,gpio_toggle,update_bit_value_080076c8
0,gpio_rd,check_bit_value_08007854
0,debounce_rd,FUNC_080078f4
0,enable_tim_clock,check_and_update_flag_08007a10
0,step_isr_enable,set_flags_and_values_08007b70
0,step_isr_disable,clear_bitwise_flags_08007bc2
0,set_step_period,update_data_08007bf0
0,set_step_pulse_delay,set_global_variable_08007c40
0,set_step_pulse_time,set_param_into_global_variable_08007c5e
0,g540_timer_start,set_flags_and_enable_08007da8
0,usart_putc,send_byte_to_device_08007e1c
0,usart_tstc,check_bit_5_set_08007e58
0,usart_getc,get_lowest_byte_08007e84
0,enable_usart_clock,update_memory_flags_08007ea4
0,__subdf3,reverse_bits_080082d0
0,__aeabi_dadd,calculate_double_precision_result_080082d4
0,__floatunsidf,reverse_bits_0800854c
0,__aeabi_i2d,reverse_bits_and_shift_0800856c
0,__aeabi_f2d,reverse_bits_and_shift_08008590
0,FUN_0800881c,calculate_bitwise_operation_0800881c
0,FUN_08008a02,reverse_bits_08008a02
0,__nedf2,check_param_equality_08008a74
0,__unorddf2,check_params_valid_08008b74
0,__aeabi_d2iz,calculate_parameter_value_08008ba0
0,__aeabi_d2uiz,calculate_shifted_value_08008bf0
0,__truncdfsf2,calculate_float_value_08008c30
0,__aeabi_fsub,calculate_float_addition_08008cd8
0,__addsf3,calculate_float_value_08008cdc
0,__floatunsisf,calculate_shifted_value_08008e3c
0,__floatsisf,count_bits_set_and_shift_08008e44
0,__aeabi_fmul,calculate_float_value_08008eec
0,__aeabi_fdiv,calculate_floating_point_value_08009054
0,__cmpsf2,calculate_param_result_0800919c
0,__aeabi_f2iz,extract_integer_from_binary_08009278
0,finite,extract_sign_bit_0800b2d4
0,matherr,initialize_program_0800b2e0
0,__errno,get_data_value_0800b3dc
0,__libc_init_array,initialize_and_execute_functions_0800b3e8
0,memset,memset_with_value_0800b430
0,__register_exitproc,update_data_entry_0800b524
1,coolant_init,initialize_system_080001f8
1,get_current_usecs,calculate_adjusted_value_08000268
1,eeprom_init,initialize_data_structures_080002f0
1,gc_set_current_position,calculate_and_store_floating_point_values_080004fc
1,estimate_acceleration_distance,calculate_final_result_080028bc
1,intersection_distance,calculate_final_result_08002908
1,plan_reset_buffer,update_data_and_check_limit_08002ef0
1,plan_discard_current_block,update_limit_if_not_equal_08002f40
1,spindle_init,initialize_and_reset_system_08005238
1,set_step_events_per_minute,calculate_data_update_rate_08005324
1,step_pulse_isr,update_data_with_mask_08005760
1,step_delay_isr,update_data_with_mask_08005778
1,st_wake_up,initialize_global_variables_08005790
1,st_go_idle,clear_bitwise_flags_and_check_condition_080057e4
1,startForkserver,execute_or_skip_system_interrupt_08005984
1,HAL_Delay,find_target_value_in_range_08005a98
1,SysTick_Config,check_and_modify_param_08006c9c
1,HAL_RCC_OscConfig,check_and_verify_conditions_08005cec
1,HAL_RCC_MCOConfig,update_parameters_and_flags_0800640c
1,HAL_RCC_GetHCLKFreq,calculate_clock_and_store_frequency_08006628
1,HAL_NVIC_SetPriorityGrouping,set_bits_in_register_08006ce0
1,HAL_NVIC_SetPriority,write_shifted_bits_to_memory_08006cf6
1,HAL_NVIC_EnableIRQ,set_bit_in_memory_08006d2e
1,HAL_NVIC_DisableIRQ,set_bit_in_memory_08006d4a
1,HAL_NVIC_SystemReset,run_infinite_loop_08006d66
1,HAL_NVIC_GetPriorityGrouping,get_shifted_bits_wrapper_08006d8a
1,HAL_NVIC_GetPriority,extract_from_binary_and_mask_bits_08006d98
1,HAL_NVIC_SetPendingIRQ,set_bit_in_memory_08006dc4
1,HAL_NVIC_GetPendingIRQ,check_bit_set_from_char_08006de0
1,HAL_NVIC_ClearPendingIRQ,set_bit_in_memory_08006dfe
1,HAL_NVIC_GetActive,check_bit_set_status_08006e1a
1,gpio_init,update_and_set_parameters_0800778c
1,debounce_input,get_combined_bit_value_08007884
1,debounce_init,initialize_data_structure_080079c0
1,g540_timer_init,initialize_device_registers_08007d08
1,serial_write,send_byte_to_device_08008250
1,__io_putchar,send_byte_to_device_0800826a
1,__muldf3,calculate_improved_result_08008640
1,__divdf3,calculate_floating_point_value_08008894
1,__aeabi_cdcmpeq,check_param_equality_and_return_08008b00
1,__aeabi_cfcmpeq,concatenate_params_08009204
1,lround,calculate_parameter_result_080095b8
1,round,calculate_double_precision_result_08009654
1,trunc,calculate_shifted_result_08009798
2,_delay_ms,find_and_process_target_value_080002a0
2,_delay_us,find_adjusted_value_080002b6
2,eeprom_get_char,get_element_from_data_structure_08000310
2,eeprom_put_char,store_value_to_data_structure_08000340
2,to_millimeters,calculate_float_result_0800056c
2,mc_reset,initialize_and_check_system_components_080025e8
2,sys_sync_current_position,initialize_and_calculate_floating_point_values_0800283a
2,plan_init,initialize_and_clear_data_08002f24
2,printString,send_string_to_device_0800369c
2,printPgmString,send_string_to_device_080036c6
2,print_base2,send_bits_to_device_080036f0
2,print_uint32_base10,send_number_to_device_08003778
2,step_period_isr,update_data_with_mask_080053a0
2,st_reset,initialize_data_08005814
2,st_init,update_and_initialize_data_0800583c
2,st_cycle_start,initialize_globals_if_needed_0800585c
2,HAL_RCC_ClockConfig,initialize_and_check_clock_frequency_0800618c
2,HAL_RCC_GetPCLK1Freq,calculate_adjusted_frequency_08006680
2,HAL_RCC_GetPCLK2Freq,calculate_and_shift_clock_frequency_080066cc
2,HAL_SYSTICK_Config,validate_and_modify_param_08006d72
2,enable_tim_interrupt,write_shifted_bits_to_memory_and_set_bit_08007a70
2,__aeabi_cdrcmple,check_and_return_param_equality_08008af0
2,__aeabi_dcmpeq,check_and_return_param_equality_08008b10
2,__aeabi_dcmplt,check_if_string_is_empty_08008b24
2,__aeabi_cfrcmple,concatenate_params_080091fc
2,__aeabi_fcmpeq,check_if_concatenation_result_is_not_null_08009214
2,__aeabi_fcmplt,check_if_concatenated_string_is_empty_08009228
2,__aeabi_fcmple,check_concatenation_result_0800923c
2,__ieee754_sqrt,improved_calculate_result_0800a1bc
2,__kernel_cos,calculate_improved_result_from_binary_0800a348
2,__kernel_sin,calculate_improved_result_0800adf0
2,scalbn,calculate_reversed_result_0800b2e8
3,memcpy_to_eeprom_with_checksum,process_input_data_08000374
3,memcpy_from_eeprom_with_checksum,check_character_equality_080003ec
3,limits_isr,check_and_initialize_system_components_0800195c
3,read_float,parse_and_calculate_integer_08002638
3,print_uint8_base2,send_8_bits_to_device_08003740
3,print_uint16_base2,send_bits_to_device_0800375c
3,printInteger,send_absolute_value_080037fc
3,printFloat,convert_float_to_ascii_and_send_08003826
3,buttons_isr,initialize_or_check_system_components_08003a18
3,report_status_message,display_error_message_08004030
3,report_alarm_message,display_alarm_message_08004148
3,report_feedback_message,display_device_status_message_080041a0
3,report_init_message,print_grbl_version_08004228
3,report_grbl_help,print_grbl_commands_0800423c
3,serial_rx_hook,process_input_byte_08005900
3,HAL_Init,initialize_system_080059b4
3,SystemClock_Config,initialize_and_check_system_08007436
3,step_timer_init,initialize_memory_08007ad0
3,TIM2_IRQHandler,update_data_with_masks_08007c7c
3,set_baud_rate,calculate_adjusted_and_shifted_frequency_08007f54
3,__aeabi_dcmpge,check_and_return_param_equality_08008b4c
3,__aeabi_dcmpgt,check_if_string_is_empty_08008b60
3,__aeabi_fcmpge,check_concatenation_result_08009250
3,__aeabi_fcmpgt,is_c_string_empty_08009264
3,sqrt,improved_process_data_080098d0
3,__ieee754_hypot,improved_calculate_result_08009b24
4,next_statement,check_and_parse_character_0800184c
4,max_allowable_speed,process_data_and_calculate_result_08002978
4,protocol_init,initialize_and_print_grbl_version_080039a0
4,report_grbl_settings,print_configuration_settings_08004250
4,report_gcode_modes,send_information_to_device_080046d0
4,report_startup_line,send_data_to_device_08004900
4,report_realtime_status,print_machine_status_08004940
4,settings_store_startup_line,process_and_store_input_data_08004bc0
4,settings_write_coord_data,process_input_and_send_data_08004bf4
4,write_global_settings,initialize_data_structure_08004c2a
4,timers_init,initialize_system_08007e08
4,usart_init,initialize_memory_flags_08008190
4,serial_read,process_byte_input_08008286
4,ceil,calculate_result_with_precision_08009318
4,floor,calculate_result_with_precision_080094c0
4,hypot,calculate_hypotenuse_0800981c
4,atan,calculate_improved_result_0800af78
5,homing_cycle,improved_process_data_08001994
5,planner_reverse_pass_kernel,process_concatenation_080029d8
5,planner_forward_pass_kernel,process_concatenation_result_08002afc
5,calculate_trapezoid_for_block,calculate_shifted_and_summed_values_08002c18
5,settings_reset,initialize_data_structure_08004c48
5,settings_read_startup_line,check_and_process_input_data_08004d2c
5,settings_read_coord_data,check_and_process_input_08004d7c
5,settings_store_global_setting,initialize_and_update_data_structure_08004e30
5,debounce_isr,update_system_components_08007930
5,atan2,calculate_float_result_thunk_08009990
5,__ieee754_atan2,calculate_floating_point_result_08009990
5,__kernel_rem_pio2,calculate_result_0800a5a0
6,gc_init,initialize_and_process_input_080004ac
6,limits_go_home,initialize_and_process_data_08001d4c
6,planner_reverse_pass,process_concatenation_loop_08002a94
6,planner_forward_pass,process_concatenation_results_08002ba8
6,planner_recalculate_trapezoids,calculate_shifted_and_summed_values_08002e08
6,report_gcode_parameters,convert_and_send_g92_command_080044e8
6,read_global_settings,check_and_initialize_data_structure_08004dd2
6,SysTick_Handler,update_system_components_if_needed_08007756
6,__ieee754_rem_pio2,calculate_improved_result_08009d78
7,planner_recalculate,process_combined_data_08002edc
7,settings_init,initialize_and_process_data_080051b4
7,cos,improved_calculate_result_08009410
7,sin,calculate_result_with_improved_accuracy_080096e8
8,plan_buffer_line,improved_process_data_08003004
8,plan_cycle_reinitialize,process_combined_data_08003618
9,st_cycle_reinitialize,process_combined_data_080058a0
10,protocol_execute_runtime,process_device_data_08003a74
11,mc_line,process_and_update_device_data_08001e98
11,plan_synchronize,process_data_blocks_08002fd4
12,coolant_run,process_and_update_data_08000220
12,mc_arc,calculate_and_update_device_data_08001f00
12,mc_dwell,process_data_blocks_08002408
12,mc_go_home,initialize_process_and_update_device_data_080024c4
12,spindle_run,process_and_update_data_0800525c
13,gc_execute_line,process_input_and_return_result_080005b4
14,protocol_execute_startup,process_input_data_080039bc
15,protocol_execute_line,process_grbl_command_08003b98
16,protocol_process,process_input_and_process_device_data_08003f34
17,grbl_main,initialize_and_process_device_data_08001ddc
18,main,initialize_and_process_system_08007540
