layer,original,predicted
0,_lseek_r,initialize_value_and_return_error_000004f2
0,_fstat_r,set_value_and_return_error_00000514
0,_isatty_r,check_valid_input_00000534
0,bitarithm_lsb,convert_byte_to_int_00000566
0,clist_rpush,reverse_and_update_pointer_0000058e
0,clist_lpop,extract_value_from_pointer_000005ca
0,thread_stack_init,initialize_memory_block_000007dc
0,thread_isr_stack_usage,get_remaining_array_size_000008b8
0,thread_isr_stack_pointer,get_main_stack_pointer_wrapper_00000900
0,thread_isr_stack_start,get_masked_memory_address_0000091c
0,thread_yield_higher,set_memory_protection_flag_0000093c
0,irq_disable,get_irq_interrupt_status_00000cd0
0,irq_enable,check_irq_interrupts_enabled_00000cf0
0,irq_restore,enable_ir_qinterrupts_if_current_mode_is_privileged_00000d0c
0,irq_is_in,get_current_exception_number_00000d2a
0,bitband_addr,calculate_offset_00001d08
0,wdog_disable,initialize_data_00000dcc
0,thread_measure_stack_free,calculate_array_offset_000010a0
0,NVIC_EnableIRQ,set_bit_in_memory_00002714
0,uart_write,copy_data_to_memory_000015d0
0,kinetis_mcg_set_fll_factor,update_flags_00001748
0,kinetis_mcg_set_pee,initialize_data_00001ad4
0,port,apply_mask_and_shift_00001d5e
0,gpio,combine_bits_and_mask_00001d80
0,port_num,extract_last_bits_00001da2
0,pin_num,extract_lower_six_bits_00001dc0
0,get_ctx,extract_bits_and_return_00001e0c
0,write_map,update_bits_00001e44
0,tsrb_empty,check_equality_00002270
0,tsrb_full,check_equality_00002294
0,_push,increment_and_store_value_000022be
0,_pop,increment_pointer_and_return_element_000022f0
0,aflCall,send_software_interrupt_000023c8
0,list_remove_head,update_pointer_0000240c
0,NVIC_SetPriority,set_byte_value_00002744
0,rtc_cb,execute_callback_function_000026f0
0,rtt_get_counter,get_global_data_0000281c
0,rtt_set_counter,initialize_data_0000285c
0,rtt_get_alarm,increment_data_value_000028f0
0,rtt_clear_alarm,clear_status_flags_00002910
0,rtt_poweron,set_flag_bit_0000294c
0,rtt_poweroff,clear_interrupt_flag_00002970
0,dow,calculate_weekday_000031fc
0,NVIC_SystemReset,run_infinite_loop_00003658
0,phydat_unit_to_str,get_memory_address_00003810
0,phydat_prefix_from_scale,map_param_to_value_00003918
0,saul_class_to_str,get_device_class_name_000039e8
0,saul_reg_find_nth,find_nth_element_00003d24
0,saul_reg_read,execute_function_or_error_check_00003d64
0,saul_reg_write,execute_function_or_return_error_00003d94
0,fmt_u32_dec,count_digits_and_convert_to_string_00003dc4
0,__sfp_lock_acquire,initialize_data_structures_00004274
0,__sfp_lock_release,initialize_data_structure_00004280
0,__sinit_lock_acquire,initialize_memory_0000428c
0,_fwalk,process_data_000043a0
0,memmove,copy_and_reverse_array_000045ee
0,memset,fill_array_with_value_00004622
0,strcmp,compare_byte_arrays_00004e52
0,strncmp,compare_bytes_00004e66
0,strtol,parse_number_00004f84
0,__tz_lock,get_memory_address_000050e8
0,__tz_unlock,get_memory_address_000050f4
0,div,divide_and_store_remainder_00005584
0,__gettzinfo,get_memory_address_000056b0
0,__malloc_lock,initialize_data_structure_00005790
0,__malloc_unlock,initialize_data_0000579c
0,_printf_common,validate_and_process_data_00005a58
0,strcpy,copy_string_00005ebc
0,strlen,find_end_of_string_00005ecc
0,_strtoul_l.isra.0,parse_number_from_string_00005edc
0,__env_lock,initialize_memory_00005fec
0,__env_unlock,initialize_memory_00005ff8
0,memchr,find_byte_sequence_00006010
0,memcpy,copy_array_000060b0
0,_scanf_chars,reverse_and_process_data_000064bc
0,__sccl,extract_data_from_binary_0000687c
0,_malloc_usable_size_r,calculate_sum_or_offset_00006964
0,__udivmoddi4,calculate_quotient_and_remainder_00006a14
1,_sbrk_r,get_relocated_offset_00000428
1,sched_run,convert_and_update_data_00000610
1,sched_set_status,update_pointer_and_flag_00000698
1,sched_switch,check_and_set_memory_protection_00000738
1,cpu_switch_context_exit,execute_software_interrupt_00000930
1,bit_clear32,clear_memory_00000d76
1,uart_stdio_write,copy_data_to_memory_and_return_00000e38
1,pm_off,run_infinite_loop_00000e58
1,cortexm_isr_end,check_and_set_memory_protection_flag_00002798
1,bit_set32,set_offset_to_value_00001d3a
1,uart_init_uart,update_memory_data_000014c4
1,bit_set8,set_offset_to_value_one_000016ec
1,bit_clear8,clear_memory_00001710
1,ctx_clear,update_and_extract_bits_00001ec4
1,gpio_set,set_bit_in_memory_address_00001ff6
1,tsrb_get,copy_and_increment_elements_0000231c
1,tsrb_add_one,update_value_if_not_equal_00002364
1,startForkserver,send_interrupt_signal_000023d0
1,cortexm_init,initialize_memory_0000258c
1,rtc_clear_alarm,clear_status_flags_000026c0
1,rtc_poweron,set_flag_bit_000026d8
1,rtc_poweroff,clear_interrupt_flag_000026e4
1,rtt_init,initialize_system_000027b0
1,rtt_set_alarm,initialize_data_00002894
1,find_handler,find_matching_value_in_arrays_00002a18
1,_parse_time,parse_date_and_calculate_weekday_0000328c
1,pm_reboot,run_infinite_loop_00003688
1,fmt_s32_dec,convert_integer_to_absolute_string_00003e58
1,fmt_lpad,copy_reverse_array_and_fill_00003ff4
1,atoi,parse_and_validate_number_00004042
1,std,initialize_data_structure_000041f4
1,validate_structure,update_date_and_time_00004634
1,_free_r,initialize_data_structure_00004b34
1,__sseek,initialize_value_and_update_flag_00004e26
1,__tzcalc_limits,calculate_day_of_the_week_00004f98
1,_findenv_r,find_key_offset_0000562c
1,__swhatbuf_r,check_value_and_set_flag_000056b8
1,_printf_i,format_and_process_data_00005b34
1,strtoul,parse_and_store_number_from_rel_array_00005fd8
1,_scanf_i,extract_data_from_binary_and_process_0000656c
1,__aeabi_ldivmod,calculate_combined_quotient_and_remainder_00006974
2,sched_task_exit,initialize_data_structures_00000794
2,cpu_errata_fixes,clear_memory_00000d9c
2,irq_handler_uart,execute_protected_function_00001628
2,kinetis_mcg_disable_pll,clear_memory_00001734
2,kinetis_mcg_enable_osc,clear_bits_and_clear_memory_00001778
