layer,original,predicted
0,__do_global_dtors_aux,initialize_flag_08000110
0,frame_dummy,concatenate_64bit_values_08000134
0,strlen,find_end_of_string_08000150
0,__subdf3,calculate_unsigned_binary_result_08000168
0,__aeabi_dadd,calculate_result_0800016c
0,__aeabi_i2d,reverse_bits_and_shift_08000404
0,__aeabi_f2d,reverse_bits_and_concatenate_08000428
0,FUN_080006ac,reverse_and_check_bits_080006ac
0,FUN_08000892,reverse_bits_08000892
0,__nedf2,check_parameters_equality_08000904
0,__unorddf2,check_parameters_validity_08000a04
0,__truncdfsf2,calculate_floating_point_value_08000a30
0,__aeabi_fsub,calculate_float_value_08000ad8
0,__addsf3,calculate_floating_point_value_08000adc
0,__floatunsisf,calculate_modified_value_08000c3c
0,__floatsisf,count_set_bits_08000c44
0,__aeabi_fmul,calculate_floating_point_value_08000cec
0,__aeabi_fdiv,calculate_float_value_08000e54
0,__cmpsf2,check_integer_overflow_08000f9c
0,__aeabi_f2iz,convert_to_signed_integer_08001078
0,__fixunssfsi,reverse_bits_and_shift_080010c4
0,HAL_IncTick,increment_data_counter_0800114c
0,HAL_GetTick,get_data_value_0800115c
0,HAL_NVIC_SetPriorityGrouping,configure_register_bits_08001170
0,HAL_NVIC_SetPriority,update_memory_address_08001194
0,HAL_NVIC_EnableIRQ,set_bit_in_array_080011fc
0,HAL_SYSTICK_Config,initialize_memory_08001214
0,HAL_SYSTICK_CLKSourceConfig,set_bit_flag_08001240
0,HAL_GPIO_Init,update_bits_08001264
0,HAL_GPIO_WritePin,set_param_value_08001424
0,HAL_GPIO_TogglePin,xor_param_and_ptr_0800142e
0,I2C_IsAcknowledgeFailed,check_flag_status_08001436
0,HAL_RCC_GetSysClockFreq,calculate_mpu9250_clock_frequency_08002008
0,HAL_RCC_GetHCLKFreq,get_data_value_08002214
0,HAL_RCC_GetPCLK1Freq,get_shifted_value_08002220
0,HAL_RCC_GetPCLK2Freq,get_shifted_value_08002250
0,TIM_OC1_SetConfig,set_flags_and_values_08002280
0,TIM_OC3_SetConfig,update_param_data_080022d0
0,TIM_OC4_SetConfig,update_params_08002324
0,TIM_Base_SetConfig,update_memory_values_08002368
0,TIM_OC2_SetConfig,update_parameters_08002404
0,TIM_CCxChannelCmd,update_bit_in_value_08002520
0,HAL_TIMEx_ConfigBreakDeadTime,verify_and_update_data_08002564
0,HAL_TIMEx_MasterConfigSynchronization,update_permissions_080025a4
0,AHRS_GetRoll,calculate_and_store_result_08002ed4
0,MS5611_GetFilteredAltitude,get_data_value_08003068
0,MadgwickSetBeta,set_global_parameter_value_08003314
0,MadgwickSetDelta,set_param_to_global_variable_08003320
0,startForkserver,shift_left_by32_bits_08003eb0
0,CB_Write,increment_and_store_value_08003ec8
0,Motor1_SetPWM,set_param_value_08003fc4
0,Motor2_SetPWM,set_param_value_08003fd0
0,Motor3_SetPWM,set_param_value_08003fdc
0,Motor4_SetPWM,set_param_value_08003fe8
0,serialFlush,initialize_data_08004c64
0,HAL_TIM_PWM_MspInit,update_data_flags_08004d8c
0,SystemInit,initialize_peripheral_registers_08004f10
0,micros,get_data_value_thunk_0800115c
0,__libc_init_array,execute_all_functions_08004fb4
0,_printf_common,decode_and_process_data_080052e4
0,memchr,find_character_in_string_08005614
0,memcpy,copy_data_to_buffer_08005630
0,memmove,reverse_and_copy_data_08005646
0,_free_r,update_linked_list_0800567c
0,_malloc_usable_size_r,calculate_sum_or_offset_08005840
0,finite,get_highest_bit_set_08007092
0,matherr,initialize_application_0800709e
0,nan,get_positive_infinity_080070a4
0,__errno,get_data_value_080072ac
0,_sbrk,update_data_pointer_080072b8
1,__muldf3,calculate_result_080004d0
1,__divdf3,calculate_floating_point_value_08000724
1,__aeabi_cdcmpeq,check_parameters_and_return_08000990
1,__aeabi_cfcmpeq,concatenate_integers_08001004
1,HAL_InitTick,initialize_memory_and_update_address_08001104
1,I2C_WaitOnMasterAddressFlagUntilTimeout,check_data_validity_08001460
1,I2C_WaitOnTXEFlagUntilTimeout,check_data_validity_080014e2
1,I2C_WaitOnRXNEFlagUntilTimeout,check_data_validity_080016f4
1,HAL_RCC_OscConfig,check_conditions_and_values_08001b58
1,HAL_TIM_PWM_Init,update_data_flags_080023d0
1,HAL_TIM_PWM_ConfigChannel,update_flags_and_values_0800245c
1,HAL_TIM_PWM_Start,update_bit_and_set_flag_08002538
1,UART_SetConfig,update_values_080025e8
1,AHRS_GetPitch,calculate_and_store_result_08002ec0
1,toggleLED,set_param_values_08003f3c
1,Motor_StopAll,initialize_parameters_080041c4
1,Motor_DistributeSpeed,calculate_parameter_values_0800426c
1,PID_UpdateAltitude,calculate_and_update_data_values_08004a30
1,serialWrite,process_binary_data_08004c18
1,HAL_UART_RxCpltCallback,check_and_increment_value_08004c30
1,serialBegin,initialize_data_and_check_conditions_08004c70
1,HAL_MspInit,configure_and_update_memory_addresses_08004ccc
1,HAL_I2C_MspInit,update_bits_and_set_flag_08004d48
1,HAL_TIM_MspPostInit,initialize_and_update_bits_08004e14
1,HAL_UART_MspInit,update_memory_address_and_bits_08004e7c
1,_printf_i,decode_and_process_data_080053d4
1,_sbrk_r,update_and_check_data_pointer_0800581c
1,rint,calculate_and_update_result_080070b0
2,__aeabi_cdrcmple,check_parameters_and_return_08000980
2,__aeabi_dcmpeq,check_parameters_and_return_bool_080009a0
2,__aeabi_dcmplt,check_if_empty_string_080009b4
2,__aeabi_dcmple,check_and_return_parameters_080009c8
2,__aeabi_cfrcmple,concatenate_integers_08000ffc
2,__aeabi_fcmpeq,check_concatenation_result_08001014
2,__aeabi_fcmplt,check_if_concatenated_integers_are_empty_08001028
2,HAL_Init,initialize_memory_and_configure_addresses_08001128
2,I2C_RequestMemoryWrite,update_data_and_validity_08001530
2,I2C_RequestMemoryRead,update_data_flags_080015e8
2,HAL_I2C_Init,update_param_values_08001754
2,HAL_RCC_ClockConfig,check_and_initialize_mpu9250_0800209c
2,HAL_UART_Init,update_memory_address_and_bits_08002724
2,UART_Receive_IT,process_data_0800290c
2,PWM_Init,update_data_flags_08003ff4
2,serialPrint,process_string_data_08004c8c
2,_malloc_r,allocate_and_initialize_memory_08005714
2,__ieee754_sqrt,calculate_floating_point_number_08006c0c
2,scalbn,calculate_final_result_080071c0
3,__aeabi_dcmpgt,check_if_string_is_empty_080009f0
3,__aeabi_fcmpge,check_concatenation_result_08001050
3,__aeabi_fcmpgt,check_if_concatenation_is_successful_08001064
3,HAL_I2C_Mem_Write,process_data_08001828
3,HAL_I2C_Mem_Read,process_data_08001938
3,HAL_UART_IRQHandler,process_and_update_data_0800299a
3,MSP_SendFrame,process_and_xor_string_data_08004300
3,_realloc_r,allocate_and_initialize_memory_or_copy_data_080057d0
3,sqrt,process_data_08005bc8
4,AHRS_GetYaw,calculate_float_value_or_floating_point_conversion_08002ee8
4,MSP_SendIdent,initialize_data_08004348
4,MSP_SendStatus,process_and_xor_string_data_08004384
4,MSP_SendRawIMU,copy_process_and_xor_string_data_080043bc
4,MSP_SendMotor,process_and_xor_string_data_080043f0
4,MSP_SendAttitude,process_and_xor_string_data_08004410
4,MSP_SendAltitude,process_data_and_xor_string_08004434
4,MSP_SendPID,process_and_xor_string_data_08004458
4,PID_Compute,calculate_and_update_values_0800483c
4,__ssputs_r,allocate_memory_and_copy_data_08005044
4,__ieee754_asin,calculate_improved_result_08005c70
4,__ieee754_pow,calculate_floating_point_value_08006228_08006228
4,atan,calculate_improved_result_08006d68
5,PID_Update,calculate_and_update_data_values_08004a84
5,_svfiprintf_r,process_binary_data_080050fc
5,asin,validate_and_process_data_08005854
5,atan2,calculate_final_result_thunk_08006070
5,pow,calculate_result_and_update_08005900
5,__ieee754_atan2,calculate_improved_result_08006070
6,MadgwickQuaternionUpdate,process_data_and_calculate_results_08003330
6,siprintf,clear_binary_data_08004ffc
7,serialInt,clear_and_process_binary_data_08004cac
8,_Error_Handler,process_error_message_08004490
9,I2C_WriteByte,process_i2c_data_0800403c
9,I2C_ReadByte,process_data_and_handle_errors_0800407c
9,I2C_ReadBytes,process_data_and_handle_error_080040b8
9,SystemClock_Config,initialize_and_process_peripherals_08004514
10,MPU9250_Init,initialize_mpu9250_sensor_08002ad0
10,MS5611_ReadADC,process_data_and_concatenate_08003034
10,I2C_ReadByteArray,process_data_and_handle_errors_080040e8
10,Peripherals_Init,initialize_and_configure_system_0800458c
11,MPU9250_ReadAccelData,initialize_mpu9250_08002b48
11,MPU9250_ReadGyroData,initialize_mpu9250_08002bf0
11,AK8963_Init,process_i2c_sensor_data_08002cb0
11,AK8963_ReadData,process_mpu9250_data_08002d88
11,MS5611_Init,initialize_sensor_data_08003298
11,Devices_Init,initialize_system_and_update_data_flags_08004028
12,IMU_Init,initialize_and_process_i2c_sensor_data_08002ea0
12,AHRS_ComputeAngles,initialize_sensor_and_process_data_08002f28
13,taskScheduler,process_and_update_sensor_data_0800411c
13,setup,initialize_system_and_data_08004194
14,main,process_sensor_data_loop_080041ae
