layer,original,predicted
0,__do_global_dtors_aux,initialize_flag_if_zero_0800010c
0,strlen,find_end_of_string_08000178
0,aflCall,execute_system_call_08000188
0,disableI2CPins,initialize_data_080005e0
0,isTimerActive,check_for_bit_flag_08002400
0,Servo,initialize_data_08002580
0,attach,set_function_parameters_08003370
0,writeMicroseconds,update_data_mapping_0800267c
0,attached,get_bit_from_data_080026f8
0,available,calculate_checksum_08008afa
0,TwoWire,initialize_param_0800291c
0,beginTransmission,initialize_data_08002a30
0,staticAnalogCallback,execute_callback_function_08002c2c
0,getPinMode,get_value_from_offset_08002fa0
0,setPinMode,update_character_value_08002fa8
0,getPinState,get_value_from_offset_08002fba
0,setPinState,store_value_at_offset_in_array_08002fc2
0,encodeByteStream,decode_and_process_data_0800307a
0,FirmataMarshaller,initialize_value_0800314e
0,sendVersion,execute_function_with_params_0800322c
0,FirmataParser,initialize_data_structure_080032bc
0,bufferDataAtPosition,update_data_if_needed_08003376
0,decodeByteStream,copy_and_shift_bits_080033a8
0,systemReset,initialize_data_structure_0800344a
0,init,initialize_data_structure_08008c20
0,pinNametoDigitalPin,find_character_index_080036ac
0,HAL_IncTick,accumulate_values_08003748
0,HAL_GetTick,get_data_value_08003760
0,HAL_ADC_GetValue,get_value_from_offset_080038dc
0,HAL_ADC_ConfigChannel,update_configuration_080038e4
0,HAL_ADC_GetState,get_value_from_offset_08003a1c
0,HAL_NVIC_SetPriorityGrouping,update_value_in_register_08003f0c
0,HAL_NVIC_SetPriority,update_memory_location_08003f30
0,HAL_NVIC_EnableIRQ,set_bit_in_array_08003f94
0,HAL_NVIC_DisableIRQ,set_bit_in_memory_and_synchronize_08003fb0
0,HAL_SYSTICK_Config,initialize_memory_08003fd8
0,HAL_NVIC_ClearPendingIRQ,set_bit_in_array_at_index_08004004
0,HAL_SYSTICK_CLKSourceConfig,update_control_register_bit_08004024
0,HAL_SYSTICK_IRQHandler,execute_initialization_08004046
0,HAL_DMA_Abort_IT,initialize_data_08004050
0,HAL_GPIO_Init,update_flags_and_registers_080040e8
0,HAL_GPIO_ReadPin,check_bit_in_mask_080042d4
0,HAL_GPIO_WritePin,set_param_value_080042e2
0,I2C_Master_SB,update_flag_value_0800430c
0,I2C_Master_ADD10,set_param_value_from_index_08004396
0,I2C_Master_ADDR,update_status_flags_080043a2
0,I2C_SlaveTransmit_BTF,update_pointer_value_0800457c
0,I2C_SlaveReceive_BTF,update_value_in_array_0800459c
0,HAL_I2C_Master_Transmit_IT,process_data_08004728
0,HAL_I2C_Master_Receive_IT,process_data_080047f4
