layer,original,predicted
0,__do_global_dtors_aux,initialize_flag_if_needed_080001ac
0,memchr,find_byte_sequence_offset_08000230
0,__udivmoddi4,divide_and_remainder_08000300
0,aflCall,execute_software_interrupt_080005e0
0,init,initialize_parameters_08004364
0,calcCRC,calculate_checksum_08000728
0,buildException,copy_and_modify_data_080008cc
0,HAL_IncTick,addition_operation_08000e18
0,HAL_GetTick,get_data_value_08000e30
0,HAL_NVIC_SetPriorityGrouping,update_data_register_08000e3c
0,HAL_NVIC_SetPriority,update_character_data_08000e60
0,HAL_NVIC_EnableIRQ,set_bit_in_pointer_array_08000ec4
0,HAL_SYSTICK_Config,initialize_data_08000ee0
0,HAL_NVIC_ClearPendingIRQ,set_bit_in_memory_08000f0c
0,HAL_SYSTICK_CLKSourceConfig,update_status_flag_08000f2c
0,HAL_SYSTICK_IRQHandler,initialize_application_08000f4e
0,HAL_DAC_Stop,clear_bit_and_set_flag_08000f72
0,HAL_DMA_Abort_IT,update_parameter_value_08000f8c
0,HAL_GPIO_Init,reverse_bits_and_update_registers_08000fb4
0,HAL_GPIO_WritePin,set_param_value_08001198
0,I2C_Master_SB,update_flag_value_080011c0
0,I2C_Master_ADD10,update_parameter_value_0800124a
0,I2C_Master_ADDR,update_flags_based_on_conditions_08001256
0,I2C_SlaveTransmit_BTF,update_data_pointer_08001420
0,I2C_SlaveReceive_BTF,update_param_value_08001440
0,HAL_I2C_Slave_Sequential_Transmit_IT,process_params_08001460
0,HAL_I2C_Slave_Sequential_Receive_IT,process_input_data_080014ec
0,HAL_I2C_EnableListen_IT,initialize_data_structure_08001578
0,I2C_SlaveTransmit_TXE,decode_and_process_data_080015bc
0,I2C_SlaveReceive_RXNE,process_data_0800160e
0,I2C_MasterTransmit_TXE,process_input_0800171a
0,I2C_MasterTransmit_BTF,process_param_08001864
0,I2C_MasterReceive_RXNE,process_string_value_08001904
0,I2C_MasterReceive_BTF,process_param_080019a0
0,HAL_RCC_GetHCLKFreq,get_data_value_080025e0
0,TIM_CCxChannelCmd,update_bitwise_or_shift_08002848
0,TIM_CCxNChannelCmd,update_bitwise_value_080028d4
0,UART_EndRxTransfer,clear_flags_and_set_space_character_08002940
0,UART_Transmit_IT,process_data_0800295c
0,HAL_UART_Transmit_IT,initialize_data_08002eb2
0,HAL_UART_Receive_IT,validate_input_08002efa
0,HAL_UART_GetState,combine_two_bytes_0800312c
0,is_pin_configured,get_bit_value_08003138
0,set_pin_configured,set_bit_in_array_at_index_0800314e
0,reset_pin_configured,update_bit_value_0800316c
0,get_GPIO_Port,get_memory_address_0800318c
0,set_GPIO_Port_Clock,set_memory_address_and_value_080031fc
0,HAL_DAC_MspDeInit,clear_bit_in_memory_address_080033c8
0,pinmap_find_peripheral,find_value_in_array_080034da
0,pinmap_find_pin,find_value_in_array_08003506
0,pinmap_find_function,find_value_in_array_0800352e
0,pin_in_pinmap,find_value_in_array_0800355e
0,pinmap_merge_peripheral,find_nonzero_param_08003582
0,HAL_RTC_AlarmAEventCallback,execute_callback_function_08003594
0,SystemInit,initialize_system_080035bc
0,timer_disable_clock,update_data_registers_080035fc
0,get_timer_obj,subtract_by_four_08003750
