layer,original,predicted
0,__do_global_dtors_aux,initialize_data_flag_08000110
0,frame_dummy,concatenate_integers_08000134
0,__subdf3,calculate_result_08000158
0,__aeabi_dadd,calculate_arithmetic_result_0800015c
0,__floatunsidf,bitwise_shift_and_concatenate_080003d4
0,__aeabi_i2d,reverse_bits_and_shift_080003f4
0,__aeabi_f2d,reverse_unsigned_long_long_bits_08000418
0,FUN_080006a4,calculate_bitwise_operations_080006a4
0,FUN_0800088a,reverse_bits_0800088a
0,__nedf2,check_equality_and_boundaries_080008fc
0,__truncdfsf2,calculate_float_value_080009fc
0,__aeabi_fsub,calculate_new_float_08000aa4
0,__addsf3,calculate_normalized_float_08000aa8
0,__floatunsisf,reverse_bits_08000c08
0,__floatsisf,count_bits_and_shift_08000c10
0,__aeabi_fmul,calculate_float_from_u_int_08000cb8
0,__aeabi_fdiv,calculate_float_from_uint_08000e20
0,__cmpsf2,check_overflow_and_sign_08000f68
0,__fixunssfsi,reverse_and_shift_bits_08001044
0,memcpy,copy_memory_08001084
0,__unorddf2,check_parameters_08001170
0,__aeabi_d2iz,reverse_bits_0800119c
0,__udivmoddi4,calculate_remainder_and_quotient_0800121c
0,HAL_IncTick,increment_data_by_value_0800157c
0,HAL_GetTick,get_data_value_080015a0
0,NVIC_SetPriorityGrouping,update_configuration_register_080015b4
0,NVIC_GetPriorityGrouping,get_three_least_sig_bits_of_shifted_value_080015fc
0,NVIC_SetPriority,write_byte_to_memory_08001618
0,NVIC_EncodePriority,apply_bitwise_operation_0800166c
0,HAL_SYSTICK_CLKSourceConfig,set_flag_if_param_is_four_0800177c
0,HAL_GPIO_Init,update_flags_and_values_080017c4
0,HAL_GPIO_WritePin,set_param_value_based_on_flag_08001a80
0,I2C_IsAcknowledgeFailed,check_flag_status_08002d3c
0,HAL_RCC_GetSysClockFreq,calculate_execution_time_08003440
0,HAL_RCC_GetHCLKFreq,get_data_value_08003504
0,RCC_Delay,calculate_delay_08003568
0,HAL_TIM_Base_Start_IT,set_flags_and_values_0800360c
0,TIM_Base_SetConfig,update_memory_values_08003c94
0,TIM_OC1_SetConfig,update_function_data_08003d60
0,TIM_OC2_SetConfig,update_device_data_08003e38
0,TIM_OC3_SetConfig,update_memory_and_data_08003f18
0,TIM_OC4_SetConfig,update_data_structure_08003ff8
0,TIM_TI1_ConfigInputStage,update_parameters_080040a0
0,TIM_TI2_ConfigInputStage,update_flags_and_values_08004104
0,TIM_ITRx_SetConfig,update_value_in_memory_0800416a
0,TIM_ETR_SetConfig,update_parameters_080041a8
0,TIM_CCxChannelCmd,update_bit_in_value_080041ea
0,HAL_TIMEx_ConfigBreakDeadTime,update_parameter_value_0800422e
0,HAL_TIMEx_MasterConfigSynchronization,update_flags_and_return_080042de
0,aflCall,execute_system_call_08004e6c
0,_Error_Handler,run_infinite_loop_08005674
0,SystemInit,initialize_peripheral_registers_08005780
0,__errno,get_data_value_08005d14
0,__libc_init_array,execute_multiple_functions_08005d20
0,memset,fill_memory_with_byte_08005d68
0,sprintf,clear_local_memory_08005dfc
0,strlen,reverse_and_count_leading_zeros_08005e40
0,_localeconv_r,get_adjusted_value_08008ad4
0,memchr,find_byte_sequence_0800901c
