layer,original,predicted
0,__do_global_dtors_aux,initialize_flag_if_unset_000800f4
0,Servo,process_data_000805a8
0,write,update_data_000812b8
0,PIO_SetPeripheral,update_parameter_value_000809be
0,PIO_SetInput,set_parameters_000809e4
0,PIO_SetOutput,set_param_values_00080a0a
0,PIO_GetOutputDataStatus,check_bitwise_and_condition_00080a94
0,pmc_enable_periph_clk,check_bit_and_set_00080aa8
0,TC_SetRA,set_param_value_00080b90
0,SystemInit,initialize_memory_00080b98
0,adc_init,calculate_threshold_00080c98
0,adc_configure_trigger,update_bitwise_flags_00080d30
0,adc_configure_timing,update_register_value_00080d3e
0,adc_disable_channel,set_bit_at_position_00080d58
0,adc_disable_all_channel,set_default_value_00080d62
0,adc_disable_interrupt,set_param_value_00080d6a
0,__false,initialize_program_00080e80
0,_sbrk,calculate_and_store_sum_00080e88
0,_close,get_error_code_00080eaa
0,_fstat,initialize_memory_segment_00080eb0
0,_isatty,get_return_value_00080eba
0,_lseek,initialize_value_to_zero_00080ebe
0,_read,initialize_value_00080ec2
0,_write,copy_bytes_from_source_to_dest_00080ec8
0,_getpid,get_error_code_00080efe
0,millis,get_data_value_thunk_000816d8
0,tickReset,execute_function_if_r_info_is_zero_00081190
0,store_char,update_buffer_and_index_000811ca
0,available,calculate_difference_and_mask_00081248
0,read,extract_byte_from_buffer_00081276
0,UARTClass,initialize_parameters_00081348
0,map,calculate_linear_interpolation_0008145c
0,toInt,parse_integer_from_bytes_000815de
0,_watchdogDefaultSetup,initialize_data_register_00081618
0,countPulseASM,check_bit_pattern_00081684
0,GetTickCount,get_global_variable_value_000816d8
0,__aeabi_atexit,update_relocation_entry_000816ec
0,__libc_init_array,execute_function_set_four_times_00081778
0,memcpy,copy_memory_00081d48
0,memmove,reverse_copy_memory_00081e34
0,memset,fill_memory_with_byte_00081f00
0,strcmp,compare_uint_arrays_00082390
0,strcpy,copy_and_terminate_string_000825cc
0,strlen,count_leading_zeros_00082688
0,__locale_charset,get_memory_address_00084004
0,__locale_mb_cur_max,get_offset_from_elf_relocation_0008400c
0,memchr,find_first_occurrence_000840f8
0,_getpid_r,get_error_code_thunk_00080efe
0,__ascii_wctomb,convert_int_to_char_0008439c
0,__divdi3,divide_with_remainder_000845c0
0,__udivdi3,calculate_quotient_and_remainder_00084860
1,serialEventRun,identify_and_process_data_00080970
1,PIO_Configure,update_parameter_and_return_value_00080a30
1,RingBuffer,initialize_memory_segment_000811b0
1,timedRead,update_data_value_000811e8
1,USARTClass,initialize_and_update_data_00081438
1,equals,compare_array_and_return_result_000815b8
1,pulseIn,calculate_result_00081624
1,_sbrk_r,calculate_sum_and_store_if_valid_0008236c
1,__sinit,initialize_data_structures_00083888
1,raise,process_parameter_000841e4
1,_wcrtomb_r,execute_elf_relocation_0008434c
1,_fstat_r,initialize_memory_segment_00084494
1,_isatty_r,extract_return_value_and_update_param_000844bc
1,_lseek_r,initialize_value_and_check_error_000844e0
1,_read_r,initialize_value_and_check_error_00084508
1,__gnu_ldivmod_helper,subtract_and_store_result_0008455c
1,__gnu_uldivmod_helper,calculate_difference_and_subtract_0008458c
2,straightAndStop,calculate_and_store_linear_interpolation_00080164
2,_GLOBAL__sub_I_g_APinDescription,initialize_all_memory_segments_0008089c
2,pinMode,update_parameter_and_return_value_00080f0c
2,printNumber,convert_number_to_base_000810fc
2,_malloc_trim_r,reverse_and_update_memory_offset_00083a74
2,__sread,update_value_and_check_error_00084220
2,__swrite,copy_data_and_check_error_00084244
2,__sseek,initialize_value_and_update_flags_0008427c
2,__aeabi_uldivmod,calculate_difference_or_return_negative_one_00084530
3,digitalWrite,update_parameter_and_return_value_00081014
3,print,convert_number_to_base_thunk_0008113a
3,_free_r,reverse_and_update_memory_offset_00083b10
4,Servo_Handler,update_flags_and_values_0008044c
4,println,calculate_sum_with_conversion_0008117a
4,free,update_and_reverse_memory_offset_00081800
4,_malloc_r,allocate_memory_and_link_00081810
4,_fflush_r,process_data_00083850
5,~String,update_and_reverse_memory_offset_00081472
5,invalidate,reset_memory_offsets_00081480
5,move,copy_and_terminate_string_0008151c
5,malloc,link_and_allocate_memory_000817f0
5,_realloc_r,allocate_memory_and_link_00081fac
5,__smakebuf_r,initialize_memory_segment_00084018
5,fclose,process_data_and_update_memory_00084484
6,operator=,check_and_copy_string_00081560
6,realloc,link_and_allocate_memory_00081f9c
6,__swsetup_r,process_data_0008356c
7,changeBuffer,allocate_memory_and_update_parameters_00081496
7,__sfvwrite_r,process_and_copy_data_00083ca8
7,__swbuf_r,process_and_validate_data_000842a4
8,reserve,allocate_memory_and_check_bounds_000814ae
8,_fputwc_r,process_and_validate_data_000839b4
9,copy,process_memory_allocation_000814d0
9,__sprint_r.part.0,process_and_validate_all_data_00082824
10,String,initialize_memory_and_process_allocation_000814f6
10,concat,update_string_and_resize_0008159e
11,readStringUntil,process_and_update_data_00081214
12,loop,improve_control_system_00080250
13,fiprintf,execute_relocation_00081750
13,iprintf,process_elf_data_000817c8
13,__sbprintf,process_and_check_data_000834f0
14,_exit,exit_with_status_message_00080eec
14,_vfiprintf_r,process_and_validate_data_0008289c
15,abort,process_and_jump_000836ec
16,__assert_func,execute_relocated_assertion_000816f8
17,TC_Configure,configure_tc_channel_00080b2c
18,_initISR,configure_and_start_tc_channel_000803fc
19,attach,update_and_configure_tc_channel_000806a0
20,setup,initialize_and_configure_system_000801e0
21,main,run_control_system_000815ec
